branch,fn_short,src_short,Source lines,ID,Path ID,[L1] Nb cycles: min,[L1] Nb cycles if fully vectorized: min,[L1] Nb cycles if FP arith vectorized: min,[L1] Nb cycles if clean: min,[L1] IPC: max,Vec. ratio (%): all,Vec. ratio (%): all (FP),Vec. eff. ratio (%): all,Arith. intensity (FLOP / ld+st bytes),headroom (base/fullvec)
master,nnp_environment_mp_nnp_init_model_,nnp_environment.F,283-570,2912,1,129.25,8.14,129.25,129.25,4.48,0.0,,11.32,0.0,15.88
master,nnp_environment_mp_nnp_init_model_,nnp_environment.F,283-719,2900,1,108.5,6.86,108.5,108.5,4.44,0.0,,11.25,0.0,15.82
master,nnp_environment_mp_nnp_init_model_,nnp_environment.F,586-616,2909,1,96.4,6.12,30.19,9.5,4.52,0.0,0.0,10.12,0.0,15.76
master,nnp_acsf_mp_nnp_init_acsf_groups_,nnp_acsf.F,1133-1150,58298,1,72.75,4.56,13.8,10.0,4.1,5.71,10.0,11.43,0.0,15.95
master,nnp_acsf_mp_nnp_init_acsf_groups_,nnp_acsf.F,1115-1127,58300,3,59.5,3.73,12.46,7.4,4.17,7.69,13.33,12.18,0.0,15.93
master,nnp_environment_mp_nnp_init_model_,nnp_environment.F,283-642,2906,1,33.4,2.14,33.4,33.4,4.82,0.0,,9.03,0.0,15.61
master,nnp_acsf_mp_nnp_scale_acsf_,nnp_acsf.F,366-369,58231,1,32.0,32.0,32.0,32.0,0.84,100.0,100.0,50.0,0.12,1.0
master,nnp_acsf_mp_nnp_scale_acsf_,nnp_acsf.F,373-376,58228,1,32.0,32.0,32.0,32.0,0.84,100.0,100.0,50.0,0.12,1.0
master,nnp_acsf_mp_nnp_scale_acsf_,nnp_acsf.F,381-384,58225,1,32.0,32.0,32.0,32.0,1.09,100.0,100.0,50.0,0.16,1.0
master,nnp_acsf_mp_nnp_scale_acsf_,nnp_acsf.F,388-391,58222,1,32.0,32.0,32.0,32.0,1.09,100.0,100.0,50.0,0.16,1.0
master,nnp_acsf_mp_nnp_scale_acsf_,nnp_acsf.F,395-397,58219,1,32.0,32.0,32.0,32.0,0.72,100.0,100.0,50.0,0.12,1.0
master,nnp_acsf_mp_nnp_scale_acsf_,nnp_acsf.F,402-404,58216,1,32.0,32.0,32.0,32.0,0.72,100.0,100.0,50.0,0.12,1.0
