# branch:      dhruv-cell-list
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-cell-list/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.203990,220.448
1,1,1,2,2.186280,218.677
1,1,1,3,2.204160,220.465
1,1,1,4,2.194680,219.517
1,1,1,5,2.211370,221.174
2,1,2,1,1.225740,122.622
2,1,2,2,1.227910,122.839
2,1,2,3,1.227260,122.774
2,1,2,4,1.224320,122.490
2,1,2,5,1.229100,122.968
4,1,4,1,0.666810,66.729
4,1,4,2,0.667340,66.793
4,1,4,3,0.667010,66.748
4,1,4,4,0.665310,66.590
4,1,4,5,0.666290,66.687
8,1,8,1,0.340220,34.084
8,1,8,2,0.340800,34.139
8,1,8,3,0.339530,34.013
8,1,8,4,0.359210,35.981
8,1,8,5,0.339520,34.000
16,1,16,1,0.176260,17.680
16,1,16,2,0.175570,17.612
16,1,16,3,0.174890,17.550
16,1,16,4,0.181470,18.213
16,1,16,5,0.175310,17.596
19,1,19,1,0.149080,14.965
19,1,19,2,0.156360,15.694
19,1,19,3,0.149920,15.059
19,1,19,4,0.149360,15.004
19,1,19,5,0.149380,14.995
32,1,32,1,0.095390,9.610
32,1,32,2,0.098650,9.937
32,1,32,3,0.095240,9.639
32,1,32,4,0.097500,9.822
32,1,32,5,0.098440,9.915
38,1,38,1,0.085430,8.619
38,1,38,2,0.084920,8.567
38,1,38,3,0.083160,8.392
38,1,38,4,0.083280,8.406
38,1,38,5,0.083490,8.429
76,1,76,1,0.088560,9.046
76,1,76,2,0.088850,9.058
76,1,76,3,0.082650,8.430
76,1,76,4,0.085110,8.675
76,1,76,5,0.088820,9.175
