# branch:      dhruv-cell-list
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-cell-list/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.185190,218.568
1,1,1,2,2.207130,220.750
1,1,1,3,2.182720,218.319
1,1,1,4,2.195530,219.601
1,1,1,5,2.181730,218.221
2,1,2,1,2.470740,247.506
2,1,2,2,2.538090,253.844
2,1,2,3,2.482130,248.262
2,1,2,4,2.520600,252.107
2,1,2,5,2.507030,250.751
4,1,4,1,2.409450,240.995
4,1,4,2,2.403020,240.349
4,1,4,3,2.408200,240.857
4,1,4,4,2.459070,245.955
4,1,4,5,2.412160,241.264
8,1,8,1,2.399320,239.981
8,1,8,2,2.439880,244.049
8,1,8,3,2.471020,247.162
8,1,8,4,2.447860,244.847
8,1,8,5,2.452970,245.346
16,1,16,1,2.447290,244.777
16,1,16,2,2.428390,242.887
16,1,16,3,2.448510,244.900
16,1,16,4,2.441740,244.223
16,1,16,5,2.476480,247.698
19,1,19,1,2.491400,249.189
19,1,19,2,2.512290,251.279
19,1,19,3,2.466520,246.702
19,1,19,4,2.501950,250.244
19,1,19,5,2.491790,249.230
32,1,32,1,2.659090,265.964
32,1,32,2,2.649000,265.346
32,1,32,3,2.612760,261.366
32,1,32,4,2.660670,266.120
32,1,32,5,2.627680,262.821
38,1,38,1,2.767780,276.832
38,1,38,2,2.741870,274.240
38,1,38,3,2.732030,273.257
38,1,38,4,2.698060,269.859
38,1,38,5,2.729130,272.967
76,1,76,1,2.721100,272.181
76,1,76,2,2.729110,272.983
76,1,76,3,2.755480,275.621
76,1,76,4,2.815620,281.622
76,1,76,5,2.778060,277.866
