# branch:      dhruv-cell-list
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-cell-list/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.037220,3.892
64,2,0.036890,3.894
64,3,0.034180,3.713
64,4,0.034220,3.650
64,5,0.032540,3.443
256,1,0.052820,5.877
256,2,0.046590,5.468
256,3,0.046830,5.318
256,4,0.049430,5.554
256,5,0.046540,5.318
512,1,0.056060,7.867
512,2,0.056660,7.649
512,3,0.056590,7.972
512,4,0.057660,8.200
512,5,0.054540,7.756
1024,1,0.086320,8.858
1024,2,0.085320,8.799
1024,3,0.092420,9.413
1024,4,0.086950,8.861
1024,5,0.081960,8.448
2048,1,0.155130,15.736
2048,2,0.157060,15.879
2048,3,0.156140,15.782
2048,4,0.150920,15.400
2048,5,0.159670,16.269
4096,1,0.371340,37.724
4096,2,0.375130,37.953
4096,3,0.372000,37.454
4096,4,0.374890,37.827
4096,5,0.374720,37.735
