# branch:      dhruv-omp-bitexact
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-omp-bitexact/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.136750,213.720
1,1,1,2,2.127200,212.764
1,1,1,3,2.218250,222.548
1,1,1,4,2.136160,214.170
1,1,1,5,2.129870,213.093
2,1,2,1,1.183680,118.423
2,1,2,2,1.189170,118.961
2,1,2,3,1.194650,119.519
2,1,2,4,1.189360,118.990
2,1,2,5,1.191110,119.164
4,1,4,1,0.643500,64.405
4,1,4,2,0.642740,64.328
4,1,4,3,0.643240,64.379
4,1,4,4,0.650750,65.141
4,1,4,5,0.642900,64.345
8,1,8,1,0.330800,33.136
8,1,8,2,0.327920,32.837
8,1,8,3,0.337990,33.855
8,1,8,4,0.328610,32.918
8,1,8,5,0.328100,32.867
16,1,16,1,0.169510,17.014
16,1,16,2,0.169690,17.020
16,1,16,3,0.169070,16.969
16,1,16,4,0.173540,17.414
16,1,16,5,0.170110,17.062
19,1,19,1,0.143710,14.433
19,1,19,2,0.143670,14.429
19,1,19,3,0.146510,14.704
19,1,19,4,0.146740,14.735
19,1,19,5,0.144030,14.467
32,1,32,1,0.091910,9.260
32,1,32,2,0.091510,9.221
32,1,32,3,0.092960,9.358
32,1,32,4,0.091810,9.243
32,1,32,5,0.092130,9.282
38,1,38,1,0.080380,8.112
38,1,38,2,0.081770,8.243
38,1,38,3,0.081510,8.224
38,1,38,4,0.080560,8.131
38,1,38,5,0.082000,8.273
76,1,76,1,0.079050,8.082
76,1,76,2,0.079520,8.118
76,1,76,3,0.078030,7.946
76,1,76,4,0.090510,9.203
76,1,76,5,0.082120,8.357
