# branch:      dhruv-omp-bitexact
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-omp-bitexact/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.129250,212.973
1,1,1,2,2.136950,213.741
1,1,1,3,2.130090,213.054
1,1,1,4,2.139700,214.015
1,1,1,5,2.131170,213.162
2,1,2,1,1.173190,117.363
2,1,2,2,1.161050,116.151
2,1,2,3,1.169770,117.021
2,1,2,4,1.156440,115.690
2,1,2,5,1.172330,117.276
4,1,4,1,0.644780,64.524
4,1,4,2,0.646350,64.679
4,1,4,3,0.640290,64.063
4,1,4,4,0.643390,64.384
4,1,4,5,0.647680,64.812
8,1,8,1,0.327640,32.821
8,1,8,2,0.328160,32.873
8,1,8,3,0.329840,33.019
8,1,8,4,0.327210,32.765
8,1,8,5,0.327300,32.787
16,1,16,1,0.169980,17.042
16,1,16,2,0.170200,17.066
16,1,16,3,0.171070,17.152
16,1,16,4,0.170370,17.082
16,1,16,5,0.170260,17.072
19,1,19,1,0.147540,14.800
19,1,19,2,0.147590,14.804
19,1,19,3,0.148950,14.940
19,1,19,4,0.146870,14.733
19,1,19,5,0.147040,14.751
32,1,32,1,0.097390,9.788
32,1,32,2,0.097070,9.757
32,1,32,3,0.097190,9.767
32,1,32,4,0.097820,9.844
32,1,32,5,0.097560,9.806
38,1,38,1,0.086350,8.684
38,1,38,2,0.087170,8.755
38,1,38,3,0.087360,8.787
38,1,38,4,0.087630,8.813
38,1,38,5,0.086820,8.732
76,1,76,1,0.052800,5.349
76,1,76,2,0.053770,5.458
76,1,76,3,0.053470,5.406
76,1,76,4,0.053230,5.395
76,1,76,5,0.053030,5.370
