# branch:      feature-nnp-chebyshev
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.962320,296.283
1,1,1,2,2.962340,296.288
1,1,1,3,2.967640,296.817
1,1,1,4,2.989560,299.008
1,1,1,5,3.009850,301.658
2,1,2,1,1.683010,168.362
2,1,2,2,1.697800,169.845
2,1,2,3,1.697620,169.825
2,1,2,4,1.682500,168.302
2,1,2,5,1.676410,167.697
4,1,4,1,0.936620,93.723
4,1,4,2,0.937010,93.765
4,1,4,3,0.941530,94.205
4,1,4,4,0.936260,93.690
4,1,4,5,0.930680,93.121
8,1,8,1,0.469330,46.995
8,1,8,2,0.473940,47.447
8,1,8,3,0.471100,47.171
8,1,8,4,0.472230,47.280
8,1,8,5,0.468770,46.929
16,1,16,1,0.240240,24.091
16,1,16,2,0.241000,24.165
16,1,16,3,0.245520,24.610
16,1,16,4,0.239710,24.030
16,1,16,5,0.239390,24.003
19,1,19,1,0.207330,20.791
19,1,19,2,0.225180,22.578
19,1,19,3,0.202560,20.314
19,1,19,4,0.208300,20.895
19,1,19,5,0.202500,20.309
32,1,32,1,0.126920,12.764
32,1,32,2,0.130010,13.074
32,1,32,3,0.126620,12.735
32,1,32,4,0.126210,12.694
32,1,32,5,0.126160,12.689
38,1,38,1,0.110480,11.123
38,1,38,2,0.111640,11.241
38,1,38,3,0.110150,11.092
38,1,38,4,0.109920,11.068
38,1,38,5,0.110320,11.107
76,1,76,1,0.089840,9.131
76,1,76,2,0.090830,9.240
76,1,76,3,0.095690,9.855
76,1,76,4,0.089090,9.383
76,1,76,5,0.089960,9.289
