# branch:    feature-nnp-chebyshev
# exe:       /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# MPI ranks: 1  (fixed)
# steps:     100
# reps:      5 timed (+1 discarded warm-up) per point
# omp_threads,n_molecules,mpi_ranks,total_cores,n_reps,time_per_step_mean_s,time_per_step_std_s,time_per_step_min_s,walltime_mean_s,walltime_std_s,walltime_min_s
1,64,1,1,5,0.187542,0.000929,0.186680,18.814400,0.093329,18.730000
1,256,1,1,5,0.749002,0.002391,0.746270,75.309000,0.239532,75.034000
1,512,1,1,5,1.508106,0.038244,1.479410,152.311000,3.827141,149.435000
1,1024,1,1,5,2.976664,0.009510,2.965210,297.716800,0.950994,296.572000
1,2048,1,1,5,5.931406,0.011509,5.919160,593.206600,1.159641,591.975000
2,64,1,2,5,0.095622,0.000110,0.095480,9.622600,0.011502,9.610000
2,256,1,2,5,0.376592,0.004415,0.373040,38.063600,0.444391,37.712000
2,512,1,2,5,0.746154,0.003266,0.742370,76.114600,0.326667,75.731000
2,1024,1,2,5,1.487208,0.003105,1.484120,148.770600,0.310777,148.461000
2,2048,1,2,5,2.983534,0.005533,2.976890,298.411400,0.553882,297.746000
4,64,1,4,5,0.049882,0.000310,0.049660,5.051800,0.029962,5.030000
4,256,1,4,5,0.190890,0.003012,0.189210,19.491400,0.298473,19.319000
4,512,1,4,5,0.375928,0.000857,0.375180,39.100000,0.085857,39.025000
4,1024,1,4,5,0.747382,0.000368,0.746960,74.788400,0.037038,74.746000
4,2048,1,4,5,1.494748,0.003891,1.491230,149.741400,0.632690,149.182000
8,64,1,8,5,0.027234,0.000082,0.027110,2.791200,0.013274,2.773000
8,256,1,8,5,0.097620,0.000162,0.097430,10.173800,0.013590,10.158000
8,512,1,8,5,0.191730,0.000164,0.191580,20.680400,0.012837,20.668000
8,1024,1,8,5,0.380752,0.000863,0.379970,38.126600,0.084902,38.045000
8,2048,1,8,5,0.758322,0.001752,0.756810,75.894200,0.179691,75.739000
