# branch:    feature-nnp-chebyshev
# exe:       /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# MPI ranks: 1  (fixed)
# steps:     100
# reps:      5 timed (+1 discarded warm-up) per point
# omp_threads,n_molecules,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,64,1,1,1,0.186680,18.730
1,64,1,1,2,0.187410,18.803
1,64,1,1,3,0.189090,18.972
1,64,1,1,4,0.187530,18.804
1,64,1,1,5,0.187000,18.763
1,256,1,1,1,0.748840,75.294
1,256,1,1,2,0.749070,75.315
1,256,1,1,3,0.748030,75.213
1,256,1,1,4,0.752800,75.689
1,256,1,1,5,0.746270,75.034
1,512,1,1,1,1.479410,149.435
1,512,1,1,2,1.479650,149.463
1,512,1,1,3,1.537410,155.252
1,512,1,1,4,1.483490,149.850
1,512,1,1,5,1.560570,157.555
1,1024,1,1,1,2.965210,296.572
1,1024,1,1,2,2.968030,296.853
1,1024,1,1,3,2.987110,298.762
1,1024,1,1,4,2.981950,298.245
1,1024,1,1,5,2.981020,298.152
1,2048,1,1,1,5.942140,594.308
1,2048,1,1,2,5.919160,591.975
1,2048,1,1,3,5.942790,594.339
1,2048,1,1,4,5.919900,592.048
1,2048,1,1,5,5.933040,593.363
2,64,1,2,1,0.095780,9.641
2,64,1,2,2,0.095590,9.622
2,64,1,2,3,0.095600,9.623
2,64,1,2,4,0.095480,9.610
2,64,1,2,5,0.095660,9.617
2,256,1,2,1,0.373040,37.712
2,256,1,2,2,0.373200,37.715
2,256,1,2,3,0.375080,37.913
2,256,1,2,4,0.378010,38.206
2,256,1,2,5,0.383630,38.772
2,512,1,2,1,0.742370,75.731
2,512,1,2,2,0.748580,76.363
2,512,1,2,3,0.749490,76.434
2,512,1,2,4,0.747330,76.245
2,512,1,2,5,0.743000,75.800
2,1024,1,2,1,1.484850,148.535
2,1024,1,2,2,1.492030,149.253
2,1024,1,2,3,1.484120,148.461
2,1024,1,2,4,1.487400,148.790
2,1024,1,2,5,1.487640,148.814
2,2048,1,2,1,2.980560,298.114
2,2048,1,2,2,2.989610,299.020
2,2048,1,2,3,2.988930,298.951
2,2048,1,2,4,2.976890,297.746
2,2048,1,2,5,2.981680,298.226
4,64,1,4,1,0.050410,5.103
4,64,1,4,2,0.049660,5.030
4,64,1,4,3,0.049680,5.033
4,64,1,4,4,0.049900,5.053
4,64,1,4,5,0.049760,5.040
4,256,1,4,1,0.189300,19.335
4,256,1,4,2,0.196250,20.022
4,256,1,4,3,0.189210,19.319
4,256,1,4,4,0.189970,19.402
4,256,1,4,5,0.189720,19.379
4,512,1,4,1,0.376040,39.118
4,512,1,4,2,0.375520,39.050
4,512,1,4,3,0.375540,39.066
4,512,1,4,4,0.377360,39.241
4,512,1,4,5,0.375180,39.025
4,1024,1,4,1,0.747640,74.813
4,1024,1,4,2,0.747740,74.825
4,1024,1,4,3,0.747010,74.751
4,1024,1,4,4,0.746960,74.746
4,1024,1,4,5,0.747560,74.807
4,2048,1,4,1,1.496010,150.334
4,2048,1,4,2,1.500920,150.517
4,2048,1,4,3,1.493440,149.402
4,2048,1,4,4,1.491230,149.182
4,2048,1,4,5,1.492140,149.272
8,64,1,8,1,0.027290,2.804
8,64,1,8,2,0.027290,2.803
8,64,1,8,3,0.027290,2.793
8,64,1,8,4,0.027190,2.783
8,64,1,8,5,0.027110,2.773
8,256,1,8,1,0.097480,10.166
8,256,1,8,2,0.097810,10.189
8,256,1,8,3,0.097650,10.169
8,256,1,8,4,0.097730,10.187
8,256,1,8,5,0.097430,10.158
8,512,1,8,1,0.191580,20.672
8,512,1,8,2,0.191640,20.686
8,512,1,8,3,0.191760,20.676
8,512,1,8,4,0.192000,20.700
8,512,1,8,5,0.191670,20.668
8,1024,1,8,1,0.382080,38.258
8,1024,1,8,2,0.380140,38.075
8,1024,1,8,3,0.380450,38.094
8,1024,1,8,4,0.379970,38.045
8,1024,1,8,5,0.381120,38.161
8,2048,1,8,1,0.760870,76.159
8,2048,1,8,2,0.759420,76.001
8,2048,1,8,3,0.757170,75.778
8,2048,1,8,4,0.756810,75.739
8,2048,1,8,5,0.757340,75.794
