# branch:      feature-nnp-chebyshev
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 64  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,0.187730,18.836
1,1,1,2,0.190620,19.125
1,1,1,3,0.191180,19.180
1,1,1,4,0.186470,18.710
1,1,1,5,0.187180,18.781
2,1,2,1,0.095480,9.610
2,1,2,2,0.095330,9.596
2,1,2,3,0.095410,9.603
2,1,2,4,0.095620,9.624
2,1,2,5,0.096050,9.667
4,1,4,1,0.049780,5.040
4,1,4,2,0.050040,5.068
4,1,4,3,0.049760,5.039
4,1,4,4,0.049730,5.036
4,1,4,5,0.049940,5.056
8,1,8,1,0.027160,2.778
8,1,8,2,0.027020,2.778
8,1,8,3,0.027310,2.793
8,1,8,4,0.027100,2.774
8,1,8,5,0.027140,2.776
16,1,16,1,0.015960,1.660
16,1,16,2,0.015820,1.647
16,1,16,3,0.015810,1.645
16,1,16,4,0.015910,1.655
16,1,16,5,0.015860,1.651
