# branch:      feature-nnp-chebyshev
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.032910,3.459
64,2,0.034140,3.643
64,3,0.039560,4.186
64,4,0.038890,4.120
64,5,0.034160,3.783
256,1,0.047450,5.710
256,2,0.052560,6.010
256,3,0.059180,6.552
256,4,0.043530,4.996
256,5,0.048320,5.500
512,1,0.067780,8.936
512,2,0.060510,8.256
512,3,0.062400,8.452
512,4,0.060510,8.371
512,5,0.063410,8.726
1024,1,0.098490,10.278
1024,2,0.089770,9.132
1024,3,0.093910,9.570
1024,4,0.089660,9.113
1024,5,0.090600,9.222
2048,1,0.150610,15.235
2048,2,0.156270,15.821
2048,3,0.155610,15.872
2048,4,0.158260,16.023
2048,5,0.155400,15.729
4096,1,0.288670,29.074
4096,2,0.296870,29.911
4096,3,0.292730,29.540
4096,4,0.294300,29.647
4096,5,0.296090,29.861
