# branch:      feature-nnp-mace
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-mace/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.982910,298.342
1,1,1,2,2.998910,299.941
1,1,1,3,2.995090,299.548
1,1,1,4,3.001320,300.183
1,1,1,5,2.987440,298.793
2,1,2,1,1.680000,168.062
2,1,2,2,1.703500,170.401
2,1,2,3,1.684440,168.500
2,1,2,4,1.738200,173.880
2,1,2,5,1.691730,169.235
4,1,4,1,0.940050,94.066
4,1,4,2,0.935450,93.609
4,1,4,3,0.941200,94.183
4,1,4,4,0.937220,93.785
4,1,4,5,0.935930,93.654
8,1,8,1,0.482800,48.561
8,1,8,2,0.473990,47.508
8,1,8,3,0.471690,47.221
8,1,8,4,0.471030,47.164
8,1,8,5,0.472210,47.278
16,1,16,1,0.240700,24.136
16,1,16,2,0.243820,24.438
16,1,16,3,0.241240,24.189
16,1,16,4,0.241630,24.225
16,1,16,5,0.242550,24.316
19,1,19,1,0.204300,20.488
19,1,19,2,0.203540,20.411
19,1,19,3,0.203900,20.446
19,1,19,4,0.204080,20.475
19,1,19,5,0.205480,20.616
32,1,32,1,0.126550,12.726
32,1,32,2,0.126990,12.772
32,1,32,3,0.126310,12.704
32,1,32,4,0.127510,12.827
32,1,32,5,0.126890,12.761
38,1,38,1,0.110030,11.078
38,1,38,2,0.109990,11.076
38,1,38,3,0.110970,11.175
38,1,38,4,0.112260,11.302
38,1,38,5,0.109550,11.032
76,1,76,1,0.106960,11.008
76,1,76,2,0.097830,10.155
76,1,76,3,0.090290,9.557
76,1,76,4,0.091270,9.312
76,1,76,5,0.089560,9.152
