# branch:      feature-nnp-mace
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-mace/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,3.079310,307.981
1,1,1,2,2.990620,299.111
1,1,1,3,2.982300,298.279
1,1,1,4,3.014500,301.499
1,1,1,5,3.079670,308.017
2,1,2,1,1.494320,149.482
2,1,2,2,1.489560,149.006
2,1,2,3,1.489360,148.985
2,1,2,4,1.491360,149.185
2,1,2,5,1.493290,149.377
4,1,4,1,0.751800,75.229
4,1,4,2,0.751840,75.234
4,1,4,3,0.751880,75.237
4,1,4,4,0.752310,75.280
4,1,4,5,0.752770,75.314
8,1,8,1,0.381450,38.193
8,1,8,2,0.381420,38.190
8,1,8,3,0.380470,38.106
8,1,8,4,0.381350,38.183
8,1,8,5,0.381400,38.189
16,1,16,1,0.196310,19.681
16,1,16,2,0.196660,19.716
16,1,16,3,0.195740,19.623
16,1,16,4,0.196620,19.701
16,1,16,5,0.196410,19.691
19,1,19,1,0.169970,17.047
19,1,19,2,0.169960,17.047
19,1,19,3,0.170460,17.097
19,1,19,4,0.170360,17.087
19,1,19,5,0.170710,17.121
32,1,32,1,0.111570,11.212
32,1,32,2,0.110490,11.102
32,1,32,3,0.110140,11.069
32,1,32,4,0.109930,11.046
32,1,32,5,0.110010,11.056
38,1,38,1,0.098330,9.889
38,1,38,2,0.098210,9.875
38,1,38,3,0.098280,9.883
38,1,38,4,0.098720,9.928
38,1,38,5,0.098230,9.878
76,1,76,1,0.057900,5.852
76,1,76,2,0.057520,5.813
76,1,76,3,0.057540,5.814
76,1,76,4,0.057510,5.811
76,1,76,5,0.057590,5.820
