# branch:      feature-nnp-native-spline
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline/cp2k.psmp
# N_molecules: 64
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,0.134110,13.476
1,1,1,2,0.134900,13.554
1,1,1,3,0.135550,13.621
1,1,1,4,0.135670,13.633
1,1,1,5,0.135520,13.616
2,1,2,1,0.076180,7.681
2,1,2,2,0.076110,7.683
2,1,2,3,0.076560,7.730
2,1,2,4,0.076290,7.704
2,1,2,5,0.076850,7.760
4,1,4,1,0.043260,4.401
4,1,4,2,0.043290,4.403
4,1,4,3,0.043410,4.416
4,1,4,4,0.043330,4.408
4,1,4,5,0.043340,4.407
8,1,8,1,0.023330,2.398
8,1,8,2,0.023460,2.412
8,1,8,3,0.023440,2.420
8,1,8,4,0.023570,2.422
8,1,8,5,0.023320,2.407
16,1,16,1,0.013610,1.438
16,1,16,2,0.013730,1.454
16,1,16,3,0.013560,1.427
16,1,16,4,0.013600,1.432
16,1,16,5,0.013600,1.440
32,1,32,1,0.008450,0.930
32,1,32,2,0.008490,0.934
32,1,32,3,0.008580,0.943
32,1,32,4,0.008600,0.946
32,1,32,5,0.008790,0.964
64,1,64,1,0.006310,0.750
64,1,64,2,0.006490,0.769
64,1,64,3,0.006410,0.759
64,1,64,4,0.006360,0.755
64,1,64,5,0.006450,0.764
76,1,76,1,0.045310,4.777
76,1,76,2,0.031870,3.357
76,1,76,3,0.038460,4.042
76,1,76,4,0.042680,4.437
76,1,76,5,0.033990,3.592
