# branch:      feature-nnp-native-spline
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline/cp2k.psmp
# N_molecules: 1024
# steps:       50
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,1.428840,71.496
1,1,1,2,1.431660,71.637
1,1,1,3,1.430620,71.584
1,1,1,4,1.426040,71.355
1,1,1,5,1.431420,71.624
2,1,2,1,0.808940,40.497
2,1,2,2,0.804520,40.287
2,1,2,3,0.804680,40.283
2,1,2,4,0.807340,40.428
2,1,2,5,0.807580,40.430
4,1,4,1,0.446460,22.384
4,1,4,2,0.450460,22.584
4,1,4,3,0.444420,22.281
4,1,4,4,0.445940,22.347
4,1,4,5,0.447580,22.441
8,1,8,1,0.229580,11.541
8,1,8,2,0.227720,11.448
8,1,8,3,0.228320,11.467
8,1,8,4,0.227260,11.415
8,1,8,5,0.227720,11.437
16,1,16,1,0.117520,5.945
16,1,16,2,0.119300,6.023
16,1,16,3,0.117440,5.931
16,1,16,4,0.118140,5.971
16,1,16,5,0.117380,5.927
19,1,19,1,0.101660,5.141
19,1,19,2,0.102400,5.190
19,1,19,3,0.101840,5.157
19,1,19,4,0.101780,5.155
19,1,19,5,0.102000,5.170
32,1,32,1,0.066360,3.392
32,1,32,2,0.068000,3.477
32,1,32,3,0.066320,3.390
32,1,32,4,0.066380,3.392
32,1,32,5,0.066380,3.393
38,1,38,1,0.058880,3.020
38,1,38,2,0.059000,3.028
38,1,38,3,0.058800,3.016
38,1,38,4,0.060260,3.100
38,1,38,5,0.058640,3.009
76,1,76,1,0.068200,3.589
76,1,76,2,0.090660,4.710
76,1,76,3,0.077060,4.029
76,1,76,4,0.065060,3.427
76,1,76,5,0.076520,4.004
