# branch:      feature-nnp-native-spline
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.035240,3.711
64,2,0.034240,3.707
64,3,0.040140,4.316
64,4,0.034480,3.639
64,5,0.034540,3.629
256,1,0.038160,4.444
256,2,0.045230,5.159
256,3,0.040560,4.677
256,4,0.038080,4.557
256,5,0.040810,4.789
512,1,0.057800,7.854
512,2,0.045620,6.663
512,3,0.046500,6.888
512,4,0.047720,6.839
512,5,0.046880,6.790
1024,1,0.071600,7.423
1024,2,0.068500,7.005
1024,3,0.070930,7.268
1024,4,0.068450,7.076
1024,5,0.070800,7.263
2048,1,0.117680,12.018
2048,2,0.111700,11.416
2048,3,0.110770,11.318
2048,4,0.113210,11.496
2048,5,0.112940,11.485
4096,1,0.202200,20.447
4096,2,0.206820,20.960
4096,3,0.202100,20.439
4096,4,0.204130,20.652
4096,5,0.204960,20.737
