# branch:      feature-nnp-native-spline-omp
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# N_molecules: 1024
# steps:       50
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,2,2,1,1.448180,72.462
1,2,2,2,1.440560,72.080
1,2,2,3,1.448700,72.488
1,2,2,4,1.447640,72.422
1,2,2,5,1.444620,72.284
2,2,4,1,0.814280,40.775
2,2,4,2,0.813440,40.732
2,2,4,3,0.812920,40.701
2,2,4,4,0.813880,40.742
2,2,4,5,0.818860,41.004
4,2,8,1,0.450500,22.586
4,2,8,2,0.450360,22.578
4,2,8,3,0.450240,22.573
4,2,8,4,0.450880,22.595
4,2,8,5,0.450420,22.581
8,2,16,1,0.227580,11.441
8,2,16,2,0.227540,11.435
8,2,16,3,0.228140,11.470
8,2,16,4,0.227140,11.415
8,2,16,5,0.228140,11.469
16,2,32,1,0.118640,5.995
16,2,32,2,0.118260,5.977
16,2,32,3,0.119260,6.026
16,2,32,4,0.118480,5.992
16,2,32,5,0.118120,5.969
19,2,38,1,0.104380,5.290
19,2,38,2,0.104020,5.267
19,2,38,3,0.103680,5.249
19,2,38,4,0.103680,5.253
19,2,38,5,0.103660,5.250
38,2,76,1,0.089420,4.582
38,2,76,2,0.073180,3.750
38,2,76,3,0.091700,4.731
38,2,76,4,0.072120,3.686
38,2,76,5,0.098420,5.030
