# branch:    feature-nnp-native-spline-omp
# exe:       /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks: 1  (fixed)
# steps:     20
# reps:      5 timed (+1 discarded warm-up) per point
# omp_threads,n_molecules,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,64,1,1,1,0.212700,4.319
1,64,1,1,2,0.223100,4.515
1,64,1,1,3,0.212550,4.317
1,64,1,1,4,0.213050,4.326
1,64,1,1,5,0.213050,4.327
1,256,1,1,1,0.651800,13.446
1,256,1,1,2,0.646150,13.332
1,256,1,1,3,0.645850,13.326
1,256,1,1,4,0.647150,13.354
1,256,1,1,5,0.645950,13.327
1,512,1,1,1,1.146300,24.433
1,512,1,1,2,1.153950,24.585
1,512,1,1,3,1.145700,24.420
1,512,1,1,4,1.143900,24.384
1,512,1,1,5,1.145300,24.420
1,1024,1,1,1,2.454200,49.135
1,1024,1,1,2,2.503100,50.113
1,1024,1,1,3,2.459500,49.230
1,1024,1,1,4,2.453850,49.129
1,1024,1,1,5,2.458050,49.211
1,2048,1,1,1,5.354000,107.142
1,2048,1,1,2,5.274750,105.557
1,2048,1,1,3,5.281650,105.683
1,2048,1,1,4,5.249800,105.058
1,2048,1,1,5,5.288800,105.826
2,64,1,2,1,0.127350,2.611
2,64,1,2,2,0.127200,2.609
2,64,1,2,3,0.126900,2.601
2,64,1,2,4,0.127650,2.616
2,64,1,2,5,0.127300,2.611
2,256,1,2,1,0.385900,8.129
2,256,1,2,2,0.386700,8.154
2,256,1,2,3,0.385850,8.133
2,256,1,2,4,0.386250,8.136
2,256,1,2,5,0.386700,8.142
2,512,1,2,1,0.683450,15.180
2,512,1,2,2,0.683900,15.198
2,512,1,2,3,0.684100,15.189
2,512,1,2,4,0.683650,15.319
2,512,1,2,5,0.683200,15.199
2,1024,1,2,1,1.461800,29.285
2,1024,1,2,2,1.460150,29.253
2,1024,1,2,3,1.466900,29.387
2,1024,1,2,4,1.465250,29.356
2,1024,1,2,5,1.470100,29.452
2,2048,1,2,1,3.133850,62.738
2,2048,1,2,2,3.110100,62.262
2,2048,1,2,3,3.110600,62.271
2,2048,1,2,4,3.116000,62.368
2,2048,1,2,5,3.137200,62.792
4,64,1,4,1,0.079800,1.660
4,64,1,4,2,0.080250,1.659
4,64,1,4,3,0.080150,1.666
4,64,1,4,4,0.079650,1.658
4,64,1,4,5,0.080200,1.658
4,256,1,4,1,0.241300,5.222
4,256,1,4,2,0.241850,5.244
4,256,1,4,3,0.241750,5.241
4,256,1,4,4,0.240950,5.215
4,256,1,4,5,0.241100,5.220
4,512,1,4,1,0.430750,10.113
4,512,1,4,2,0.430500,10.108
4,512,1,4,3,0.431050,10.116
4,512,1,4,4,0.430150,10.108
4,512,1,4,5,0.430700,10.140
4,1024,1,4,1,0.913600,18.310
4,1024,1,4,2,0.913900,18.327
4,1024,1,4,3,0.917450,18.388
4,1024,1,4,4,0.920500,18.460
4,1024,1,4,5,0.913900,18.328
4,2048,1,4,1,1.954400,39.136
4,2048,1,4,2,FAILED,FAILED
4,2048,1,4,3,FAILED,FAILED
