# branch:    feature-nnp-native-spline-omp
# exe:       /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks: 1  (fixed)
# steps:     20
# reps:      5 timed (+1 discarded warm-up) per point
# omp_threads,n_molecules,mpi_ranks,total_cores,n_reps,time_per_step_mean_s,time_per_step_std_s,time_per_step_min_s,walltime_mean_s,walltime_std_s,walltime_min_s
1,64,1,1,5,0.212490,0.000323,0.212150,4.306600,0.007570,4.295000
1,256,1,1,5,0.648070,0.004996,0.645050,13.360800,0.098454,13.295000
1,512,1,1,5,1.146100,0.003116,1.142900,24.433800,0.061227,24.363000
1,1024,1,1,5,2.458130,0.002888,2.454300,49.213600,0.059248,49.135000
1,2048,1,1,5,5.273970,0.044080,5.249800,105.540000,0.881366,105.056000
2,64,1,2,5,0.129620,0.004602,0.127400,2.656800,0.092942,2.611000
2,256,1,2,5,0.387360,0.000503,0.386750,8.158400,0.011059,8.143000
2,512,1,2,5,0.687330,0.000709,0.686700,15.266800,0.029227,15.245000
2,1024,1,2,5,1.468840,0.006620,1.462400,29.425600,0.132009,29.297000
2,2048,1,2,5,3.127530,0.008584,3.119950,62.607200,0.172504,62.458000
4,64,1,4,5,0.080360,0.000143,0.080150,1.666600,0.007232,1.655000
4,256,1,4,5,0.243260,0.000749,0.242450,5.266200,0.015707,5.245000
4,512,1,4,5,0.434470,0.001202,0.433300,10.195800,0.022084,10.170000
4,1024,1,4,5,0.922830,0.002531,0.920050,18.500000,0.051454,18.439000
4,2048,1,4,5,1.956900,0.004950,1.949800,39.257200,0.158020,39.045000
8,64,1,8,5,0.056290,0.000210,0.056100,1.186200,0.015320,1.174000
8,256,1,8,5,0.173630,0.000615,0.172750,3.873200,0.013971,3.852000
8,512,1,8,5,0.314620,0.000633,0.314000,7.788000,0.020408,7.772000
8,1024,1,8,5,0.664760,0.001463,0.663000,13.338600,0.023191,13.310000
8,2048,1,8,5,1.393370,0.004104,1.386600,27.915000,0.082592,27.779000
