# branch:      feature-nnp-native-spline-omp
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 64  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,0.204830,20.549
1,1,1,2,0.206760,20.741
1,1,1,3,0.204720,20.538
1,1,1,4,0.204710,20.536
1,1,1,5,0.205090,20.574
2,1,2,1,0.122490,12.313
2,1,2,2,0.122340,12.299
2,1,2,3,0.122360,12.302
2,1,2,4,0.122220,12.285
2,1,2,5,0.122560,12.320
4,1,4,1,0.077020,7.756
4,1,4,2,0.076630,7.716
4,1,4,3,0.076670,7.732
4,1,4,4,0.076580,7.724
4,1,4,5,0.076690,7.733
8,1,8,1,0.053890,5.441
8,1,8,2,0.054060,5.460
8,1,8,3,0.054120,5.477
8,1,8,4,0.054340,5.488
8,1,8,5,0.054200,5.474
16,1,16,1,0.045170,4.583
16,1,16,2,0.045860,4.651
16,1,16,3,0.045480,4.615
16,1,16,4,0.045270,4.595
16,1,16,5,0.045580,4.625
32,1,32,1,0.048950,4.984
32,1,32,2,0.049300,5.001
32,1,32,3,0.049230,5.006
32,1,32,4,0.049270,4.999
32,1,32,5,0.049290,5.000
76,1,76,1,0.126770,12.756
76,1,76,2,0.137430,13.822
76,1,76,3,0.110350,11.113
76,1,76,4,0.126450,12.732
76,1,76,5,0.091810,9.258
