# branch:      feature-nnp-native-spline-omp
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks:   38
# OMP threads: 2
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.018000,1.906
64,2,0.034170,3.531
64,3,0.021640,2.256
64,4,0.008030,0.896
64,5,0.008170,0.928
256,1,0.043080,4.821
256,2,0.034350,3.908
256,3,0.041810,4.655
256,4,0.020890,2.582
256,5,0.038480,4.336
512,1,0.032140,4.858
512,2,0.032050,4.832
512,3,0.032290,4.869
512,4,0.032380,4.882
512,5,0.065220,8.196
1024,1,0.079400,8.039
1024,2,0.098400,9.918
1024,3,0.096990,9.781
1024,4,0.101760,10.315
1024,5,0.070840,7.205
2048,1,0.148440,14.946
2048,2,0.156180,15.744
2048,3,0.146620,14.758
2048,4,0.157160,15.835
2048,5,0.156570,15.811
4096,1,0.305270,30.677
4096,2,0.321080,32.253
4096,3,0.305430,30.667
4096,4,0.310650,31.197
4096,5,0.312980,31.435
