# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# N_molecules: 64
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,0.157910,15.856
1,1,1,2,0.157550,15.819
1,1,1,3,0.156330,15.697
1,1,1,4,0.157530,15.817
1,1,1,5,0.157590,15.822
2,1,2,1,0.087820,8.854
2,1,2,2,0.087540,8.828
2,1,2,3,0.087450,8.807
2,1,2,4,0.088100,8.886
2,1,2,5,0.088410,8.915
4,1,4,1,0.049260,4.989
4,1,4,2,0.049710,5.045
4,1,4,3,0.049410,5.015
4,1,4,4,0.049390,5.013
4,1,4,5,0.049220,4.996
8,1,8,1,0.026510,2.726
8,1,8,2,0.026730,2.739
8,1,8,3,0.026530,2.730
8,1,8,4,0.026710,2.746
8,1,8,5,0.026540,2.719
16,1,16,1,0.015440,1.621
16,1,16,2,0.015590,1.630
16,1,16,3,0.015550,1.631
16,1,16,4,0.015610,1.638
16,1,16,5,0.015670,1.638
32,1,32,1,0.009660,1.051
32,1,32,2,0.009750,1.060
32,1,32,3,0.009680,1.057
32,1,32,4,0.009700,1.052
32,1,32,5,0.009760,1.061
64,1,64,1,0.006930,0.825
64,1,64,2,0.007040,0.824
64,1,64,3,0.007020,0.819
64,1,64,4,0.006980,0.818
64,1,64,5,0.006930,0.812
76,1,76,1,0.034310,3.616
76,1,76,2,0.034100,3.597
76,1,76,3,0.034380,3.650
76,1,76,4,0.037430,4.226
76,1,76,5,0.044200,4.624
