# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        3 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,7.960840,796.142
1,1,1,2,8.069330,806.985
1,1,1,3,7.972490,797.298
2,1,2,1,4.262720,426.326
2,1,2,2,4.274760,427.533
2,1,2,3,4.253540,425.418
4,1,4,1,2.123550,212.418
4,1,4,2,2.117740,211.836
4,1,4,3,2.135610,213.625
8,1,8,1,1.064650,106.531
8,1,8,2,1.061610,106.213
8,1,8,3,1.126960,112.760
16,1,16,1,0.570830,57.140
16,1,16,2,0.575430,57.610
16,1,16,3,0.581160,58.185
32,1,32,1,0.303240,30.395
32,1,32,2,0.294940,29.569
32,1,32,3,0.290240,29.097
64,1,64,1,0.183120,18.415
64,1,64,2,0.182230,18.324
64,1,64,3,0.182700,18.372
76,1,76,1,0.194380,19.620
76,1,76,2,0.193310,19.500
76,1,76,3,0.198070,20.069
