# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.041340,4.326
64,2,0.033950,3.586
64,3,0.032430,3.559
64,4,0.034280,3.698
64,5,0.039120,4.370
256,1,0.046310,5.332
256,2,0.045470,5.318
256,3,0.048810,5.523
256,4,0.048230,5.472
256,5,0.045050,5.154
512,1,0.087150,10.933
512,2,0.072150,9.372
512,3,0.084680,11.055
512,4,0.078580,10.064
512,5,0.074300,9.531
1024,1,0.190180,19.174
1024,2,0.189340,19.090
1024,3,0.191950,19.361
1024,4,0.191100,19.526
1024,5,0.189140,19.127
2048,1,0.776830,77.942
2048,2,0.771220,77.309
2048,3,0.776750,77.881
2048,4,0.775060,77.723
2048,5,0.778420,78.053
4096,1,3.415810,341.807
4096,2,3.399960,340.294
4096,3,3.422130,342.481
4096,4,3.453150,345.562
4096,5,3.374040,337.723
