# branch:      dhruv-head-8be1dfa
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-head-8be1dfa/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.179200,217.965
1,1,1,2,2.189540,218.999
1,1,1,3,2.182220,218.266
1,1,1,4,2.192490,219.810
1,1,1,5,2.204900,221.255
2,1,2,1,1.216280,121.672
2,1,2,2,1.226350,122.689
2,1,2,3,1.219480,121.992
2,1,2,4,1.226420,122.697
2,1,2,5,1.219240,121.979
4,1,4,1,0.667120,66.767
4,1,4,2,0.663420,66.397
4,1,4,3,0.669870,67.042
4,1,4,4,0.684750,68.531
4,1,4,5,0.663870,66.444
8,1,8,1,0.338700,33.924
8,1,8,2,0.338810,33.938
8,1,8,3,0.346720,34.727
8,1,8,4,0.339340,33.990
8,1,8,5,0.337870,33.842
16,1,16,1,0.176740,17.735
16,1,16,2,0.178030,17.867
16,1,16,3,0.173840,17.446
16,1,16,4,0.174510,17.513
16,1,16,5,0.174310,17.492
19,1,19,1,0.149010,14.965
19,1,19,2,0.148490,14.911
19,1,19,3,0.148060,14.860
19,1,19,4,0.150440,15.098
19,1,19,5,0.148490,14.903
32,1,32,1,0.095630,9.625
32,1,32,2,0.095770,9.649
32,1,32,3,0.096250,9.697
32,1,32,4,0.095820,9.653
32,1,32,5,0.096210,9.693
38,1,38,1,0.082810,8.355
38,1,38,2,0.082890,8.366
38,1,38,3,0.083370,8.412
38,1,38,4,0.083460,8.422
38,1,38,5,0.083100,8.387
76,1,76,1,0.083860,8.546
76,1,76,2,0.085110,8.731
76,1,76,3,0.084830,8.650
76,1,76,4,0.081130,8.305
76,1,76,5,0.082650,8.434
