# branch:      dhruv-omp-bitexact-v2
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-omp-bitexact-v2/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.132320,213.275
1,1,1,2,2.154430,215.488
1,1,1,3,2.137250,213.933
1,1,1,4,2.142000,214.307
1,1,1,5,2.139070,213.951
2,1,2,1,1.185720,118.615
2,1,2,2,1.189530,118.995
2,1,2,3,1.187430,118.797
2,1,2,4,1.189650,119.008
2,1,2,5,1.193710,119.424
4,1,4,1,0.641890,64.242
4,1,4,2,0.643880,64.443
4,1,4,3,0.643090,64.363
4,1,4,4,0.647800,64.859
4,1,4,5,0.645010,64.556
8,1,8,1,0.330780,33.134
8,1,8,2,0.326660,32.711
8,1,8,3,0.326960,32.752
8,1,8,4,0.327490,32.795
8,1,8,5,0.328030,32.848
16,1,16,1,0.174560,17.516
16,1,16,2,0.170220,17.084
16,1,16,3,0.169790,17.030
16,1,16,4,0.169530,17.014
16,1,16,5,0.170800,17.140
19,1,19,1,0.144260,14.481
19,1,19,2,0.145280,14.589
19,1,19,3,0.143950,14.459
19,1,19,4,0.144680,14.531
19,1,19,5,0.144120,14.465
32,1,32,1,0.092720,9.343
32,1,32,2,0.095660,9.637
32,1,32,3,0.091580,9.229
32,1,32,4,0.091430,9.215
32,1,32,5,0.091720,9.234
38,1,38,1,0.080210,8.097
38,1,38,2,0.080600,8.135
38,1,38,3,0.080590,8.134
38,1,38,4,0.080250,8.102
38,1,38,5,0.080300,8.106
76,1,76,1,0.080140,8.175
76,1,76,2,0.082070,8.508
76,1,76,3,0.080320,8.256
76,1,76,4,0.080170,8.237
76,1,76,5,0.080890,8.302
