# branch:      master-45eee6b
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master-45eee6b/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.154660,215.511
1,1,1,2,2.190550,220.079
1,1,1,3,2.147190,215.500
1,1,1,4,2.149920,215.037
1,1,1,5,2.163840,218.956
2,1,2,1,1.325160,132.569
2,1,2,2,1.377720,137.815
2,1,2,3,1.198130,119.866
2,1,2,4,1.198650,119.909
2,1,2,5,1.192710,119.313
4,1,4,1,0.662750,66.329
4,1,4,2,0.657370,65.791
4,1,4,3,0.676680,67.722
4,1,4,4,0.654320,65.487
4,1,4,5,0.661500,66.205
8,1,8,1,0.332190,33.275
8,1,8,2,0.332300,33.286
8,1,8,3,0.333410,33.397
8,1,8,4,0.332030,33.259
8,1,8,5,0.333870,33.443
16,1,16,1,0.171450,17.207
16,1,16,2,0.171260,17.186
16,1,16,3,0.171240,17.176
16,1,16,4,0.171850,17.247
16,1,16,5,0.172060,17.259
19,1,19,1,0.149320,14.994
19,1,19,2,0.145860,14.640
19,1,19,3,0.146010,14.655
19,1,19,4,0.215340,21.589
19,1,19,5,0.146690,14.731
32,1,32,1,0.092910,9.353
32,1,32,2,0.093200,9.391
32,1,32,3,0.093370,9.401
32,1,32,4,0.095070,9.569
32,1,32,5,0.095040,9.575
38,1,38,1,0.081300,8.205
38,1,38,2,0.081440,8.220
38,1,38,3,0.083270,8.401
38,1,38,4,0.082120,8.288
38,1,38,5,0.082100,8.287
76,1,76,1,0.076710,8.022
76,1,76,2,0.076410,7.792
76,1,76,3,0.079860,8.154
76,1,76,4,0.075390,7.727
76,1,76,5,0.083010,8.470
