# branch:      nnp-omp-atom-loop-45eee6b
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/nnp-omp-atom-loop-45eee6b/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.125890,212.634
1,1,1,2,2.123320,212.376
1,1,1,3,2.120730,212.118
1,1,1,4,2.145150,214.561
1,1,1,5,2.257980,225.842
2,1,2,1,1.181270,118.180
2,1,2,2,1.181080,118.161
2,1,2,3,1.179200,117.963
2,1,2,4,1.178520,117.931
2,1,2,5,1.179000,117.954
4,1,4,1,0.643960,64.450
4,1,4,2,0.643560,64.412
4,1,4,3,0.643750,64.430
4,1,4,4,0.645740,64.630
4,1,4,5,0.644690,64.524
8,1,8,1,0.327350,32.790
8,1,8,2,0.330290,33.086
8,1,8,3,0.327230,32.769
8,1,8,4,0.327770,32.833
8,1,8,5,0.327750,32.831
16,1,16,1,0.169340,16.987
16,1,16,2,0.169230,16.976
16,1,16,3,0.169100,16.971
16,1,16,4,0.168980,16.950
16,1,16,5,0.174460,17.508
19,1,19,1,0.144320,14.485
19,1,19,2,0.144350,14.489
19,1,19,3,0.144180,14.482
19,1,19,4,0.144340,14.496
19,1,19,5,0.144610,14.515
32,1,32,1,0.091830,9.254
32,1,32,2,0.091970,9.261
32,1,32,3,0.096250,9.688
32,1,32,4,0.095410,9.604
32,1,32,5,0.095320,9.603
38,1,38,1,0.083710,8.446
38,1,38,2,0.080330,8.109
38,1,38,3,0.083160,8.391
38,1,38,4,0.080240,8.092
38,1,38,5,0.080260,8.101
76,1,76,1,0.080980,8.259
76,1,76,2,0.080720,8.600
76,1,76,3,0.077070,7.921
76,1,76,4,0.077150,7.886
76,1,76,5,0.079570,8.249
