# branch:      dhruv-head-8be1dfa
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-head-8be1dfa/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.177530,217.798
1,1,1,2,2.178020,217.847
1,1,1,3,2.192290,219.275
1,1,1,4,2.187150,218.748
1,1,1,5,2.204390,220.473
2,1,2,1,2.505480,250.593
2,1,2,2,2.495760,249.608
2,1,2,3,2.491360,249.181
2,1,2,4,2.433700,243.414
2,1,2,5,2.498340,249.879
4,1,4,1,2.428380,242.882
4,1,4,2,2.372760,237.319
4,1,4,3,2.450960,245.142
4,1,4,4,2.379800,238.025
4,1,4,5,2.419270,241.972
8,1,8,1,2.435700,243.628
8,1,8,2,2.399680,240.013
8,1,8,3,2.432860,243.332
8,1,8,4,2.401800,240.226
8,1,8,5,2.395520,239.598
16,1,16,1,2.421880,242.233
16,1,16,2,2.444240,244.470
16,1,16,3,2.431530,243.199
16,1,16,4,2.464050,246.452
16,1,16,5,2.487580,248.805
19,1,19,1,2.460240,246.071
19,1,19,2,2.453590,245.422
19,1,19,3,2.492290,249.276
19,1,19,4,2.490000,249.047
19,1,19,5,2.455160,245.562
32,1,32,1,2.605530,260.604
32,1,32,2,2.569420,256.993
32,1,32,3,2.631910,263.241
32,1,32,4,2.573560,257.407
32,1,32,5,2.617200,261.771
38,1,38,1,2.763200,276.371
38,1,38,2,2.722510,272.341
38,1,38,3,2.688850,268.936
38,1,38,4,2.733350,273.387
38,1,38,5,2.693770,269.427
76,1,76,1,2.747740,274.843
76,1,76,2,2.767500,276.806
76,1,76,3,2.767410,277.255
76,1,76,4,2.743630,275.064
76,1,76,5,2.780660,278.134
