# branch:      dhruv-omp-bitexact-v2
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/dhruv-omp-bitexact-v2/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.126730,212.718
1,1,1,2,2.142310,214.276
1,1,1,3,2.125640,212.610
1,1,1,4,2.155970,215.643
1,1,1,5,2.133090,213.353
2,1,2,1,1.167220,116.765
2,1,2,2,1.160320,116.078
2,1,2,3,1.171520,117.196
2,1,2,4,1.180810,118.125
2,1,2,5,1.176730,117.716
4,1,4,1,0.639510,63.994
4,1,4,2,0.645940,64.637
4,1,4,3,0.644680,64.513
4,1,4,4,0.644520,64.496
4,1,4,5,0.645850,64.629
8,1,8,1,0.328150,32.872
8,1,8,2,0.326250,32.682
8,1,8,3,0.327940,32.839
8,1,8,4,0.327450,32.790
8,1,8,5,0.327480,32.791
16,1,16,1,0.169760,17.022
16,1,16,2,0.170910,17.136
16,1,16,3,0.169970,17.042
16,1,16,4,0.169710,17.017
16,1,16,5,0.169820,17.027
19,1,19,1,0.146010,14.647
19,1,19,2,0.146790,14.726
19,1,19,3,0.146580,14.703
19,1,19,4,0.146680,14.713
19,1,19,5,0.145860,14.631
32,1,32,1,0.096280,9.679
32,1,32,2,0.096500,9.687
32,1,32,3,0.096370,9.686
32,1,32,4,0.096370,9.686
32,1,32,5,0.096570,9.707
38,1,38,1,0.089300,8.980
38,1,38,2,0.089230,8.973
38,1,38,3,0.090050,9.055
38,1,38,4,0.086610,8.712
38,1,38,5,0.089890,9.040
76,1,76,1,0.052590,5.316
76,1,76,2,0.057220,5.782
76,1,76,3,0.052860,5.345
76,1,76,4,0.052850,5.341
76,1,76,5,0.055820,5.641
