# branch:      master-45eee6b
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master-45eee6b/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.141040,214.150
1,1,1,2,2.149120,214.959
1,1,1,3,2.143300,214.375
1,1,1,4,2.160600,216.105
1,1,1,5,2.150050,215.049
2,1,2,1,2.604210,260.466
2,1,2,2,2.584580,258.503
2,1,2,3,2.599580,260.003
2,1,2,4,2.662210,266.266
2,1,2,5,2.621680,262.213
4,1,4,1,2.541690,254.214
4,1,4,2,2.528380,252.882
4,1,4,3,2.522700,252.314
4,1,4,4,2.533620,253.428
4,1,4,5,2.542080,254.254
8,1,8,1,2.529420,253.002
8,1,8,2,2.535750,253.633
8,1,8,3,2.570130,257.069
8,1,8,4,2.543140,254.372
8,1,8,5,2.511280,251.221
16,1,16,1,2.558660,255.912
16,1,16,2,2.592440,259.289
16,1,16,3,2.584920,258.539
16,1,16,4,2.600690,260.124
16,1,16,5,2.568880,256.933
19,1,19,1,2.570500,257.097
19,1,19,2,2.641410,264.187
19,1,19,3,2.649550,265.002
19,1,19,4,2.641520,264.200
19,1,19,5,2.615790,261.625
32,1,32,1,2.785850,278.636
32,1,32,2,2.743920,274.441
32,1,32,3,2.759430,277.371
32,1,32,4,2.752970,275.928
32,1,32,5,2.739750,274.025
38,1,38,1,2.840560,284.116
38,1,38,2,2.856470,285.699
38,1,38,3,2.895880,289.638
38,1,38,4,2.844750,284.526
38,1,38,5,2.828670,282.917
76,1,76,1,2.905070,290.564
76,1,76,2,2.904630,290.536
76,1,76,3,2.909550,291.009
76,1,76,4,2.882920,288.359
76,1,76,5,2.872340,287.292
