# branch:      nnp-omp-atom-loop-45eee6b
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/nnp-omp-atom-loop-45eee6b/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 1024  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,2.121320,212.177
1,1,1,2,2.120260,212.071
1,1,1,3,2.114840,211.530
1,1,1,4,2.119850,212.032
1,1,1,5,2.118870,211.932
2,1,2,1,1.157520,115.797
2,1,2,2,1.159620,116.007
2,1,2,3,1.157490,115.794
2,1,2,4,1.160140,116.058
2,1,2,5,1.170030,117.046
4,1,4,1,0.644930,64.538
4,1,4,2,0.648080,64.842
4,1,4,3,0.645220,64.568
4,1,4,4,0.649360,64.980
4,1,4,5,0.644200,64.465
8,1,8,1,0.328930,32.937
8,1,8,2,0.329790,33.037
8,1,8,3,0.329930,33.051
8,1,8,4,0.328060,32.882
8,1,8,5,0.327010,32.757
16,1,16,1,0.170220,17.067
16,1,16,2,0.170800,17.125
16,1,16,3,0.169910,17.038
16,1,16,4,0.166830,16.730
16,1,16,5,0.170330,17.078
19,1,19,1,0.147510,14.797
19,1,19,2,0.148060,14.851
19,1,19,3,0.148020,14.849
19,1,19,4,0.147900,14.835
19,1,19,5,0.166350,16.680
32,1,32,1,0.097750,9.826
32,1,32,2,0.097170,9.767
32,1,32,3,0.098780,9.929
32,1,32,4,0.098650,9.909
32,1,32,5,0.099490,9.998
38,1,38,1,0.093240,9.374
38,1,38,2,0.091920,9.241
38,1,38,3,0.096240,9.674
38,1,38,4,0.092160,9.267
38,1,38,5,0.087640,8.814
76,1,76,1,0.050810,5.138
76,1,76,2,0.050640,5.135
76,1,76,3,0.049580,5.028
76,1,76,4,0.050580,5.115
76,1,76,5,0.050660,5.125
