lag_fs,acf_norm_mean,acf_norm_sem
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,9.580025560000000606e-01,1.165827487924312475e-04
1.000000000000000000e+00,8.369586719999999591e-01,4.521744017898463052e-04
1.500000000000000000e+00,6.510235499999998954e-01,9.646670606950380781e-04
2.000000000000000000e+00,4.216442919999999761e-01,1.590245067992350578e-03
2.500000000000000000e+00,1.747616180000000075e-01,2.251903529733014376e-03
3.000000000000000000e+00,-6.240078400000000081e-02,2.869443131528484452e-03
3.500000000000000000e+00,-2.644934460000000209e-01,3.369690538278854054e-03
4.000000000000000000e+00,-4.107706980000000452e-01,3.695840186740224128e-03
4.500000000000000000e+00,-4.871478899999999723e-01,3.815002478495913528e-03
5.000000000000000000e+00,-4.874633760000000038e-01,3.723404717548982508e-03
5.500000000000000000e+00,-4.139109200000000155e-01,3.448909694493320494e-03
6.000000000000000000e+00,-2.766601100000000146e-01,3.050803559995298331e-03
6.500000000000000000e+00,-9.271273600000000392e-02,2.615952729635228052e-03
7.000000000000000000e+00,1.159271540000000045e-01,2.245608994719693833e-03
7.500000000000000000e+00,3.246440359999999692e-01,2.018535229547902508e-03
8.000000000000000000e+00,5.089654200000000017e-01,1.936824092668191014e-03
8.500000000000000000e+00,6.473984799999999984e-01,1.926557366677684275e-03
9.000000000000000000e+00,7.239982479999998999e-01,1.913378768776316345e-03
9.500000000000000000e+00,7.302985140000000097e-01,1.882256426033912045e-03
1.000000000000000000e+01,6.662966480000001024e-01,1.884701861614735416e-03
1.050000000000000000e+01,5.403251140000000508e-01,1.998828913805771306e-03
1.100000000000000000e+01,3.678358659999999558e-01,2.255111762497813768e-03
1.150000000000000000e+01,1.693144080000000273e-01,2.605307591660531181e-03
1.200000000000000000e+01,-3.232724399999999804e-02,2.965683175684145391e-03
1.250000000000000000e+01,-2.144857800000000148e-01,3.262574432617591346e-03
1.300000000000000000e+01,-3.573772319999999891e-01,3.449566066174703568e-03
1.350000000000000000e+01,-4.460627780000000486e-01,3.509959179709075307e-03
1.400000000000000000e+01,-4.718364480000000194e-01,3.453939430763662208e-03
1.450000000000000000e+01,-4.329128380000000220e-01,3.312016836686373922e-03
1.500000000000000000e+01,-3.344168200000000590e-01,3.123793119841643696e-03
1.550000000000000000e+01,-1.877159240000000062e-01,2.922164385664502602e-03
1.600000000000000000e+01,-9.162943999999999256e-03,2.717435180777271007e-03
1.650000000000000000e+01,1.816538699999999951e-01,2.491022386294429892e-03
1.700000000000000000e+01,3.640140059999999456e-01,2.205206121920583358e-03
1.750000000000000000e+01,5.183292500000000746e-01,1.823754775335755798e-03
1.800000000000000000e+01,6.283272959999999241e-01,1.334621523760935258e-03
1.850000000000000000e+01,6.828849439999999937e-01,7.892150040552958247e-04
1.900000000000000000e+01,6.772585380000000210e-01,5.503020676083303017e-04
1.950000000000000000e+01,6.135300259999999506e-01,1.048802825461498138e-03
2.000000000000000000e+01,5.002030960000000137e-01,1.711667198308706311e-03
2.050000000000000000e+01,3.510194799999999948e-01,2.304168613107558748e-03
2.100000000000000000e+01,1.831857179999999974e-01,2.742071164753751445e-03
2.150000000000000000e+01,1.527699799999999997e-02,2.983418383970642442e-03
2.200000000000000000e+01,-1.348957279999999925e-01,3.024483229223468884e-03
2.250000000000000000e+01,-2.522000480000000100e-01,2.905350531358306867e-03
2.300000000000000000e+01,-3.256852920000000706e-01,2.713913675195658154e-03
2.350000000000000000e+01,-3.495555240000000063e-01,2.575239296845248469e-03
2.400000000000000000e+01,-3.235612200000000382e-01,2.597419344066330665e-03
2.450000000000000000e+01,-2.528136280000000125e-01,2.787951550555349024e-03
2.500000000000000000e+01,-1.470687220000000128e-01,3.049071325748875343e-03
2.550000000000000000e+01,-1.956309599999999857e-02,3.257768756343211881e-03
2.600000000000000000e+01,1.144829239999999998e-01,3.322962845307784324e-03
2.650000000000000000e+01,2.395482440000000213e-01,3.201127921256193519e-03
2.700000000000000000e+01,3.415073259999999999e-01,2.899753021991015485e-03
2.750000000000000000e+01,4.091548959999999902e-01,2.484818558829992446e-03
2.800000000000000000e+01,4.353839439999999672e-01,2.097569594413021057e-03
2.850000000000000000e+01,4.178788100000000449e-01,1.943616779414093602e-03
2.900000000000000000e+01,3.592461060000000095e-01,2.126047385898540386e-03
2.950000000000000000e+01,2.665811059999999566e-01,2.498796493933829778e-03
3.000000000000000000e+01,1.505416700000000163e-01,2.850918736693489660e-03
3.050000000000000000e+01,2.406122800000000048e-02,3.046843353652103729e-03
3.100000000000000000e+01,-9.913229000000001179e-02,3.029521605270376217e-03
3.150000000000000000e+01,-2.060160919999999840e-01,2.811696616970612000e-03
3.200000000000000000e+01,-2.856299660000000129e-01,2.483444494011495356e-03
3.250000000000000000e+01,-3.301612680000000077e-01,2.227501607461592967e-03
3.300000000000000000e+01,-3.356659819999999739e-01,2.262256388324270992e-03
3.350000000000000000e+01,-3.023744979999999360e-01,2.624744625691044584e-03
3.400000000000000000e+01,-2.345691520000000030e-01,3.129649461946818877e-03
3.450000000000000000e+01,-1.400561639999999830e-01,3.575124551045178942e-03
3.500000000000000000e+01,-2.928766200000000250e-02,3.827110217165687663e-03
3.550000000000000000e+01,8.577945400000000498e-02,3.812747597674936463e-03
3.600000000000000000e+01,1.929739020000000027e-01,3.509969941806337281e-03
3.650000000000000000e+01,2.812158880000000249e-01,2.944781609884513599e-03
3.700000000000000000e+01,3.416972240000000771e-01,2.200093711855476662e-03
3.750000000000000000e+01,3.688032159999999893e-01,1.472239843295249356e-03
3.800000000000000000e+01,3.606705279999999902e-01,1.246692599951563238e-03
3.850000000000000000e+01,3.193176719999999968e-01,1.756923932828052077e-03
3.900000000000000000e+01,2.503368000000000260e-01,2.446274862516476661e-03
3.950000000000000000e+01,1.621896079999999851e-01,2.984923283334764942e-03
4.000000000000000000e+01,6.519717399999999663e-02,3.245023713794091633e-03
4.050000000000000000e+01,-2.965278800000000284e-02,3.177144165192066858e-03
4.100000000000000000e+01,-1.119414300000000084e-01,2.788419483920955271e-03
4.150000000000000000e+01,-1.729584459999999879e-01,2.148890662506125135e-03
4.200000000000000000e+01,-2.066241040000000029e-01,1.448578654400924353e-03
4.250000000000000000e+01,-2.100997120000000218e-01,1.219786004864785054e-03
4.300000000000000000e+01,-1.840286359999999954e-01,1.814021056607667201e-03
4.350000000000000000e+01,-1.323891680000000015e-01,2.647344157980599348e-03
4.400000000000000000e+01,-6.198130599999999990e-02,3.365718118664425256e-03
4.450000000000000000e+01,1.839234799999999587e-02,3.827723924644251680e-03
4.500000000000000000e+01,9.895821800000001445e-02,3.967694447955132965e-03
4.550000000000000000e+01,1.700983319999999910e-01,3.771728599552731914e-03
4.600000000000000000e+01,2.234426119999999849e-01,3.276705013334887864e-03
4.650000000000000000e+01,2.528009320000000337e-01,2.581435269061381228e-03
4.700000000000000000e+01,2.548281659999999671e-01,1.893289898186753528e-03
4.750000000000000000e+01,2.293486600000000097e-01,1.617996610790641823e-03
4.800000000000000000e+01,1.793090940000000022e-01,1.989414362393116930e-03
4.850000000000000000e+01,1.103748060000000059e-01,2.605846195163098560e-03
4.900000000000000000e+01,3.022712799999999894e-02,3.106165711887245908e-03
4.950000000000000000e+01,-5.234751999999999461e-02,3.326474349145051683e-03
5.000000000000000000e+01,-1.284658999999999940e-01,3.202960458775601198e-03
5.050000000000000000e+01,-1.901371940000000094e-01,2.743711851256615351e-03
5.100000000000000000e+01,-2.311245680000000302e-01,2.042940040295847422e-03
5.150000000000000000e+01,-2.475891960000000114e-01,1.397027793036346565e-03
5.200000000000000000e+01,-2.384535600000000366e-01,1.512086130883421014e-03
5.250000000000000000e+01,-2.054519060000000175e-01,2.365154784597827634e-03
5.300000000000000000e+01,-1.528691719999999976e-01,3.320487062777688000e-03
5.350000000000000000e+01,-8.700238400000000205e-02,4.093677719190410777e-03
5.400000000000000000e+01,-1.540812000000000084e-02,4.551756706253092151e-03
