lag_ps,msd_mean,msd_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.137388000000000027e-03,4.078869206042266441e-06
1.000000000000000021e-02,4.402226000000000403e-03,1.593354185358677793e-05
1.499999999999999944e-02,9.696193999999999993e-03,3.537781007920087994e-05
2.000000000000000042e-02,1.683840600000000021e-02,6.222079207146143597e-05
2.500000000000000139e-02,2.573177600000000134e-02,9.638959085917940192e-05
2.999999999999999889e-02,3.612411399999999884e-02,1.375684747534839162e-04
3.500000000000000333e-02,4.781160400000000754e-02,1.851401538996878403e-04
4.000000000000000083e-02,6.061889399999999956e-02,2.389726857739188544e-04
4.499999999999999833e-02,7.441559799999999947e-02,2.986894481296584213e-04
5.000000000000000278e-02,8.901065400000000849e-02,3.642861159665567393e-04
5.500000000000000028e-02,1.041967520000000036e-01,4.351997179158089324e-04
5.999999999999999778e-02,1.198433080000000095e-01,5.114361547681195311e-04
6.500000000000000222e-02,1.358414639999999951e-01,5.926999246043464535e-04
7.000000000000000666e-02,1.520694800000000069e-01,6.788799853803332814e-04
7.499999999999999722e-02,1.683872519999999873e-01,7.694137576258967392e-04
8.000000000000000167e-02,1.847370540000000116e-01,8.639564666497918672e-04
8.500000000000000611e-02,2.010962140000000231e-01,9.622581434604748516e-04
8.999999999999999667e-02,2.174236580000000196e-01,1.064019730288873027e-03
9.500000000000000111e-02,2.336654000000000231e-01,1.168801270845474865e-03
1.000000000000000056e-01,2.498181660000000082e-01,1.276164193748593762e-03
1.049999999999999961e-01,2.659168100000000035e-01,1.385955592787879243e-03
1.100000000000000006e-01,2.819684040000000058e-01,1.497945856576927319e-03
1.150000000000000050e-01,2.979612379999999616e-01,1.611811738390686371e-03
1.199999999999999956e-01,3.139162899999999867e-01,1.727268826671171957e-03
1.250000000000000000e-01,3.298805040000000188e-01,1.844281012800383498e-03
1.300000000000000044e-01,3.458756020000000042e-01,1.962904295375607344e-03
1.350000000000000089e-01,3.618921860000000601e-01,2.083042779679761519e-03
1.400000000000000133e-01,3.779439980000000032e-01,2.204673956854849570e-03
1.449999999999999900e-01,3.940614060000000030e-01,2.327965542866985722e-03
1.499999999999999944e-01,4.102536559999999666e-01,2.453181447314073827e-03
1.549999999999999989e-01,4.264985699999999658e-01,2.580440662375327147e-03
1.600000000000000033e-01,4.427883240000000109e-01,2.709819138419753120e-03
1.650000000000000078e-01,4.591334120000000185e-01,2.841570245000816369e-03
1.700000000000000122e-01,4.755263639999999792e-01,2.975971601184391763e-03
1.749999999999999889e-01,4.919362620000000130e-01,3.113160779788601545e-03
1.799999999999999933e-01,5.083410379999999673e-01,3.253153191258275224e-03
1.849999999999999978e-01,5.247399120000000305e-01,3.396088242997224137e-03
1.900000000000000022e-01,5.411204000000000569e-01,3.542143570660281383e-03
1.950000000000000067e-01,5.574520260000001004e-01,3.691324800787112136e-03
2.000000000000000111e-01,5.737125640000000359e-01,3.843540464372129182e-03
