lag_fs,running_eta_mean,running_eta_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.226308800000000032e-02,1.048975466062006999e-04
1.000000000000000000e+00,4.267606599999999861e-02,1.996751703292119046e-04
1.500000000000000000e+00,5.960567800000000915e-02,2.755480846313396138e-04
2.000000000000000000e+00,7.182287400000000877e-02,3.262024581391127385e-04
2.500000000000000000e+00,7.863652399999998543e-02,3.485781713848424028e-04
3.000000000000000000e+00,7.995883800000000430e-02,3.432529164391752517e-04
3.500000000000000000e+00,7.629852600000000540e-02,3.144276298228259356e-04
4.000000000000000000e+00,6.868712200000000323e-02,2.696726236272414161e-04
4.500000000000000000e+00,5.855110200000000070e-02,2.196139036217884650e-04
5.000000000000000000e+00,4.754643199999999958e-02,1.773480729638743597e-04
5.500000000000000000e+00,3.737395200000000195e-02,1.550093673750082689e-04
6.000000000000000000e+00,2.959422199999999642e-02,1.543385847220325236e-04
6.500000000000000000e+00,2.545960199999999785e-02,1.652048063889185157e-04
7.000000000000000000e+00,2.578006799999999973e-02,1.794380811700792559e-04
7.500000000000000000e+00,3.083677400000000082e-02,1.977979637306716992e-04
8.000000000000000000e+00,4.035397000000000289e-02,2.259664021043831540e-04
8.500000000000000000e+00,5.353432400000000119e-02,2.669232838963282316e-04
9.000000000000000000e+00,6.915561400000000414e-02,3.169728864366798643e-04
9.500000000000000000e+00,8.571850400000000092e-02,3.678984456150918305e-04
1.000000000000000000e+01,1.016274539999999921e-01,4.106803428775234843e-04
1.050000000000000000e+01,1.153814000000000090e-01,4.378353904951034548e-04
1.100000000000000000e+01,1.257491259999999889e-01,4.445837327950717156e-04
1.150000000000000000e+01,1.319071580000000243e-01,4.293287783319444479e-04
1.200000000000000000e+01,1.335243379999999924e-01,3.937444464167070028e-04
1.250000000000000000e+01,1.307857760000000202e-01,3.425980272214044944e-04
1.300000000000000000e+01,1.243573179999999806e-01,2.835418038914184948e-04
1.350000000000000000e+01,1.152986119999999948e-01,2.272285772388677892e-04
1.400000000000000000e+01,1.049375200000000063e-01,1.873703728714870944e-04
1.450000000000000000e+01,9.472107800000000022e-02,1.762262244502780281e-04
1.500000000000000000e+01,8.605875199999998837e-02,1.929528652132433682e-04
1.550000000000000000e+01,8.017334000000000960e-02,2.258155354044542569e-04
1.600000000000000000e+01,7.797361999999999349e-02,2.666156850037142817e-04
1.650000000000000000e+01,7.996097000000000621e-02,3.133998795947440588e-04
1.700000000000000000e+01,8.617963199999999213e-02,3.663422287342824610e-04
1.750000000000000000e+01,9.621648200000000595e-02,4.243153614518336658e-04
1.800000000000000000e+01,1.092513040000000074e-01,4.837570403063937174e-04
1.850000000000000000e+01,1.241527080000000005e-01,5.393267505918852150e-04
1.900000000000000000e+01,1.396089519999999806e-01,5.852904954669943928e-04
1.950000000000000000e+01,1.542778499999999942e-01,6.168663933867705182e-04
2.000000000000000000e+01,1.669372080000000036e-01,6.311756352822886756e-04
2.050000000000000000e+01,1.766172719999999918e-01,6.277404718225528197e-04
