# diffusion from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N128/seg3/H2O-128_feature-nnp-chebyshev_seg3-pos-1.xyz
# species: O   n_atoms: 128   n_frames: 20001
# cell_ang: 24.8400 12.4200 12.4200
# dt_ps: 0.00500
# fit_window_ps: 20.000 79.995
# viscosity_mPa_s: 0.732809
# D_PBC_ang2_ps: 0.28843781
# YH_correction_ang2_ps: 0.05436914
# D_0_ang2_ps: 0.34280695
lag_ps,msd_ang2
0.00000,-0.00000000
0.00500,0.00114158
0.01000,0.00441875
0.01500,0.00973223
0.02000,0.01689993
0.02500,0.02582291
0.03000,0.03624796
0.03500,0.04796893
0.04000,0.06080929
0.04500,0.07463629
0.05000,0.08925863
0.05500,0.10446724
0.06000,0.12013082
0.06500,0.13613860
0.07000,0.15236844
0.07500,0.16867904
0.08000,0.18501166
0.08500,0.20134250
0.09000,0.21763021
0.09500,0.23382036
0.10000,0.24990890
0.10500,0.26592996
0.11000,0.28189051
0.11500,0.29777868
0.12000,0.31361521
0.12500,0.32944684
0.13000,0.34529605
0.13500,0.36115398
0.14000,0.37703486
0.14500,0.39296938
0.15000,0.40896765
0.15500,0.42500824
0.16000,0.44108369
0.16500,0.45720486
0.17000,0.47336514
0.17500,0.48953465
0.18000,0.50569200
0.18500,0.52183696
0.19000,0.53795792
0.19500,0.55402513
0.20000,0.57001662
0.20500,0.58592979
0.21000,0.60175799
0.21500,0.61747888
0.22000,0.63307731
0.22500,0.64855436
0.23000,0.66391010
0.23500,0.67913138
0.24000,0.69420852
0.24500,0.70914576
0.25000,0.72394631
0.25500,0.73860281
0.26000,0.75310817
0.26500,0.76746672
0.27000,0.78168240
0.27500,0.79575008
0.28000,0.80966380
0.28500,0.82342617
0.29000,0.83704093
0.29500,0.85050448
0.30000,0.86381239
0.30500,0.87696695
0.31000,0.88997217
0.31500,0.90282678
0.32000,0.91552836
0.32500,0.92808006
0.33000,0.94048688
0.33500,0.95275016
0.34000,0.96486996
0.34500,0.97685033
0.35000,0.98869727
0.35500,1.00041378
0.36000,1.01200157
0.36500,1.02346483
0.37000,1.03480929
0.37500,1.04603823
0.38000,1.05715357
0.38500,1.06815881
0.39000,1.07905865
0.39500,1.08985600
0.40000,1.10055244
0.40500,1.11115049
0.41000,1.12165366
0.41500,1.13206445
0.42000,1.14238417
0.42500,1.15261497
0.43000,1.16275988
0.43500,1.17282143
0.44000,1.18280149
0.44500,1.19270257
0.45000,1.20252791
0.45500,1.21228047
0.46000,1.22196260
0.46500,1.23157686
0.47000,1.24112625
0.47500,1.25061365
0.48000,1.26004155
0.48500,1.26941267
0.49000,1.27872984
0.49500,1.28799586
0.50000,1.29721298
0.50500,1.30638375
0.51000,1.31551050
0.51500,1.32459586
0.52000,1.33364178
0.52500,1.34265089
0.53000,1.35162525
0.53500,1.36056719
0.54000,1.36947815
0.54500,1.37836006
0.55000,1.38721440
0.55500,1.39604286
0.56000,1.40484666
0.56500,1.41362746
0.57000,1.42238685
0.57500,1.43112642
0.58000,1.43984752
0.58500,1.44855163
0.59000,1.45724037
0.59500,1.46591500
0.60000,1.47457662
0.60500,1.48322635
0.61000,1.49186547
0.61500,1.50049501
0.62000,1.50911578
0.62500,1.51772864
0.63000,1.52633450
0.63500,1.53493411
0.64000,1.54352790
0.64500,1.55211647
0.65000,1.56070039
0.65500,1.56928024
0.66000,1.57785593
0.66500,1.58642797
0.67000,1.59499664
0.67500,1.60356245
0.68000,1.61212519
0.68500,1.62068536
0.69000,1.62924352
0.69500,1.63780037
0.70000,1.64635605
0.70500,1.65491127
0.71000,1.66346719
0.71500,1.67202498
0.72000,1.68058536
0.72500,1.68914931
0.73000,1.69771792
0.73500,1.70629216
0.74000,1.71487219
0.74500,1.72345852
0.75000,1.73205163
0.75500,1.74065177
0.76000,1.74925814
0.76500,1.75787010
0.77000,1.76648734
0.77500,1.77510941
0.78000,1.78373528
0.78500,1.79236372
0.79000,1.80099445
0.79500,1.80962674
0.80000,1.81825991
0.80500,1.82689281
0.81000,1.83552556
0.81500,1.84415776
0.82000,1.85278916
0.82500,1.86141904
0.83000,1.87004785
0.83500,1.87867571
0.84000,1.88730267
0.84500,1.89592851
0.85000,1.90455361
0.85500,1.91317845
0.86000,1.92180292
0.86500,1.93042694
0.87000,1.93905076
0.87500,1.94767497
0.88000,1.95629966
0.88500,1.96492481
0.89000,1.97355090
0.89500,1.98217835
0.90000,1.99080725
0.90500,1.99943703
0.91000,2.00806768
0.91500,2.01669898
0.92000,2.02533033
0.92500,2.03396053
0.93000,2.04258890
0.93500,2.05121487
0.94000,2.05983741
0.94500,2.06845527
0.95000,2.07706762
0.95500,2.08567431
0.96000,2.09427484
0.96500,2.10286866
0.97000,2.11145556
0.97500,2.12003612
0.98000,2.12861073
0.98500,2.13717944
0.99000,2.14574277
0.99500,2.15430184
1.00000,2.16285779
1.00500,2.17141136
1.01000,2.17996367
1.01500,2.18851590
1.02000,2.19706946
1.02500,2.20562500
1.03000,2.21418321
1.03500,2.22274473
1.04000,2.23131013
1.04500,2.23987918
1.05000,2.24845157
1.05500,2.25702715
1.06000,2.26560554
1.06500,2.27418612
1.07000,2.28276778
1.07500,2.29134995
1.08000,2.29993167
1.08500,2.30851215
1.09000,2.31709011
1.09500,2.32566518
1.10000,2.33423685
1.10500,2.34280469
1.11000,2.35136796
1.11500,2.35992659
1.12000,2.36848053
1.12500,2.37702969
1.13000,2.38557369
1.13500,2.39411294
1.14000,2.40264788
1.14500,2.41117912
1.15000,2.41970669
1.15500,2.42823133
1.16000,2.43675377
1.16500,2.44527486
1.17000,2.45379511
1.17500,2.46231544
1.18000,2.47083690
1.18500,2.47936017
1.19000,2.48788584
1.19500,2.49641452
1.20000,2.50494719
1.20500,2.51348416
1.21000,2.52202569
1.21500,2.53057175
1.22000,2.53912277
1.22500,2.54767827
1.23000,2.55623782
1.23500,2.56480048
1.24000,2.57336601
1.24500,2.58193326
1.25000,2.59050123
1.25500,2.59906880
1.26000,2.60763544
1.26500,2.61620025
1.27000,2.62476224
1.27500,2.63332073
1.28000,2.64187512
1.28500,2.65042474
1.29000,2.65896853
1.29500,2.66750582
1.30000,2.67603617
1.30500,2.68455909
1.31000,2.69307411
1.31500,2.70158100
1.32000,2.71008016
1.32500,2.71857165
1.33000,2.72705582
1.33500,2.73553281
1.34000,2.74400338
1.34500,2.75246756
1.35000,2.76092581
1.35500,2.76937829
1.36000,2.77782592
1.36500,2.78626888
1.37000,2.79470791
1.37500,2.80314309
1.38000,2.81157515
1.38500,2.82000405
1.39000,2.82843000
1.39500,2.83685300
1.40000,2.84527327
1.40500,2.85369067
1.41000,2.86210509
1.41500,2.87051671
1.42000,2.87892560
1.42500,2.88733167
1.43000,2.89573460
1.43500,2.90413444
1.44000,2.91253098
1.44500,2.92092417
1.45000,2.92931368
1.45500,2.93769979
1.46000,2.94608250
1.46500,2.95446191
1.47000,2.96283773
1.47500,2.97121014
1.48000,2.97957925
1.48500,2.98794483
1.49000,2.99630675
1.49500,3.00466510
1.50000,3.01302018
1.50500,3.02137152
1.51000,3.02971887
1.51500,3.03806185
1.52000,3.04640074
1.52500,3.05473517
1.53000,3.06306512
1.53500,3.07139044
1.54000,3.07971137
1.54500,3.08802763
1.55000,3.09633890
1.55500,3.10464500
1.56000,3.11294593
1.56500,3.12124159
1.57000,3.12953171
1.57500,3.13781631
1.58000,3.14609571
1.58500,3.15437034
1.59000,3.16264027
