# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N512/seg1/H2O-512_feature-nnp-chebyshev_seg1-1.stress
# n_molecules: 512
# volume_ang3: 15326.9159
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.671961
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95796133,0.02284368
1.000,0.83680465,0.04378334
1.500,0.65072033,0.06113840
2.000,0.42120924,0.07364468
2.500,0.17427666,0.08059226
3.000,-0.06278907,0.08189299
3.500,-0.26458602,0.07807348
4.000,-0.41034002,0.07019907
4.500,-0.48597091,0.05974175
5.000,-0.48535858,0.04840918
5.500,-0.41077347,0.03795394
6.000,-0.27248898,0.02998227
6.500,-0.08762465,0.02578080
7.000,0.12170006,0.02617836
7.500,0.33077345,0.03145740
8.000,0.51506095,0.04132581
8.500,0.65305219,0.05495427
9.000,0.72883395,0.07107683
9.500,0.73401964,0.08814405
10.000,0.66872684,0.10450999
10.500,0.54143657,0.11862906
11.000,0.36776142,0.12923674
11.500,0.16834051,0.13549148
12.000,-0.03378733,0.13706132
12.500,-0.21593722,0.13414776
13.000,-0.35830290,0.12744806
13.500,-0.44598963,0.11806432
14.000,-0.47040042,0.10737274
14.500,-0.42991309,0.09686871
15.000,-0.32985139,0.08800449
15.500,-0.18179310,0.08203509
16.000,-0.00228601,0.07988743
16.500,0.18892728,0.08206499
17.000,0.37103340,0.08859809
17.500,0.52442627,0.09904548
18.000,0.63289570,0.11254804
18.500,0.68545641,0.12792935
19.000,0.67756587,0.14383183
19.500,0.61155036,0.15887204
20.000,0.49617534,0.17179595
20.500,0.34543234,0.18161505
21.000,0.17673551,0.18770722
21.500,0.00879807,0.18987186
22.000,-0.14052111,0.18833503
22.500,-0.25614203,0.18370714
23.000,-0.32726431,0.17690049
23.500,-0.34832507,0.16901834
24.000,-0.31936436,0.16122836
24.500,-0.24580598,0.15463448
25.000,-0.13770496,0.15016003
25.500,-0.00854904,0.14845367
26.000,0.12626660,0.14982709
26.500,0.25114152,0.15423034
27.000,0.35197493,0.16126694
27.500,0.41768816,0.17024666
28.000,0.44139042,0.18026959
28.500,0.42105070,0.19033175
29.000,0.35960015,0.19943966
29.500,0.26446440,0.20672067
30.000,0.14660057,0.21151659
30.500,0.01917428,0.21345070
31.000,-0.10395180,0.21246159
31.500,-0.20973759,0.20880176
32.000,-0.28732900,0.20300245
32.500,-0.32913305,0.19581014
33.000,-0.33151416,0.18810232
33.500,-0.29506361,0.18079199
34.000,-0.22443415,0.17473097
34.500,-0.12776862,0.17062180
35.000,-0.01578357,0.16894696
35.500,0.09940081,0.16992253
36.000,0.20556822,0.17348063
36.500,0.29171646,0.17928248
37.000,0.34922977,0.18676045
37.500,0.37278218,0.19518422
38.000,0.36086763,0.20374376
38.500,0.31589559,0.21163961
39.000,0.24384303,0.21817012
39.500,0.15350875,0.22280605
40.000,0.05546415,0.22524415
40.500,-0.03917116,0.22543424
41.000,-0.11998403,0.22357737
41.500,-0.17841058,0.22009598
42.000,-0.20864367,0.21558019
42.500,-0.20821265,0.21071669
43.000,-0.17818137,0.20620861
43.500,-0.12295209,0.20269526
44.000,-0.04970417,0.20068087
44.500,0.03246614,0.20047975
45.000,0.11360680,0.20218399
