# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-native-spline/N64/seg1/H2O-64_feature-nnp-native-spline_seg1-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.761813
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95817790,0.02249611
1.000,0.83764443,0.04312704
1.500,0.65253284,0.06024663
2.000,0.42425067,0.07261703
2.500,0.17867859,0.07954366
3.000,-0.05704101,0.08094106
3.500,-0.25765846,0.07732570
4.000,-0.40253996,0.06974115
4.500,-0.47771552,0.05962852
5.000,-0.47713048,0.04865898
5.500,-0.40306726,0.03854701
6.000,-0.26575611,0.03086337
6.500,-0.08222281,0.02686569
7.000,0.12554838,0.02736343
7.500,0.33301058,0.03263149
8.000,0.51580996,0.04238298
8.500,0.65261725,0.05580621
9.000,0.72768255,0.07166350
9.500,0.73274396,0.08844130
10.000,0.66798363,0.10453326
10.500,0.54186897,0.11843240
11.000,0.36991166,0.12890720
11.500,0.17256727,0.13513935
12.000,-0.02737171,0.13680740
12.500,-0.20749676,0.13410917
13.000,-0.34826833,0.12772438
13.500,-0.43501041,0.11872584
14.000,-0.45926662,0.10845213
14.500,-0.41946070,0.09835706
15.000,-0.32086527,0.08985198
15.500,-0.17492007,0.08415625
16.000,0.00203380,0.08217008
16.500,0.19050716,0.08438205
17.000,0.36996396,0.09082090
17.500,0.52107630,0.10105743
18.000,0.62788871,0.11425708
18.500,0.67962078,0.12927812
19.000,0.67185754,0.14480430
19.500,0.60695120,0.15949562
20.000,0.49357646,0.17213880
20.500,0.34551767,0.18177856
21.000,0.17988457,0.18781453
21.500,0.01502544,0.19005371
22.000,-0.13157768,0.18871473
22.500,-0.24518191,0.18438641
23.000,-0.31523931,0.17794812
23.500,-0.33632350,0.17046278
24.000,-0.30848165,0.16305507
24.500,-0.23701888,0.15678821
25.000,-0.13176325,0.15255153
25.500,-0.00589342,0.15097009
26.000,0.12555566,0.15234480
26.500,0.24736168,0.15662899
27.000,0.34578479,0.16344323
27.500,0.41005328,0.17212651
28.000,0.43349226,0.18181741
28.500,0.41416249,0.19155551
29.000,0.35494012,0.20039118
29.500,0.26304342,0.20749076
30.000,0.14908599,0.21222542
30.500,0.02579162,0.21423446
31.000,-0.09346241,0.21345704
31.500,-0.19610238,0.21013044
32.000,-0.27166130,0.20475663
32.500,-0.31280616,0.19804210
33.000,-0.31600465,0.19081814
33.500,-0.28178608,0.18395055
34.000,-0.21458673,0.17824807
34.500,-0.12220446,0.17437892
35.000,-0.01491892,0.17280361
35.500,0.09563558,0.17373090
36.000,0.19773081,0.17710118
36.500,0.28080662,0.18259876
37.000,0.33659598,0.18969166
37.500,0.35998608,0.19769419
38.000,0.34951692,0.20584517
38.500,0.30746219,0.21339274
39.000,0.23948844,0.21967626
39.500,0.15394005,0.22419608
40.000,0.06084137,0.22666355
40.500,-0.02926248,0.22702634
41.000,-0.10649105,0.22546677
41.500,-0.16270788,0.22237413
42.000,-0.19237884,0.21829479
42.500,-0.19312224,0.21386604
43.000,-0.16589868,0.20974151
43.500,-0.11482701,0.20651645
44.000,-0.04665241,0.20466133
44.500,0.03007078,0.20447083
45.000,0.10598703,0.20603390
45.500,0.17202241,0.20922776
46.000,0.22041666,0.21373621
46.500,0.24558515,0.21908977
47.000,0.24471217,0.22472245
47.500,0.21801101,0.23003835
48.000,0.16862813,0.23448017
48.500,0.10221281,0.23759167
49.000,0.02621297,0.23906706
49.500,-0.05101197,0.23878217
50.000,-0.12115343,0.23680428
50.500,-0.17687998,0.23338039
51.000,-0.21262575,0.22890563
51.500,-0.22515902,0.22387623
52.000,-0.21387538,0.21883248
52.500,-0.18079153,0.21429843
53.000,-0.13024770,0.21072512
53.500,-0.06835753,0.20844349
54.000,-0.00227152,0.20763208
54.500,0.06065978,0.20830286
55.000,0.11372533,0.21030625
55.500,0.15159838,0.21335436
56.000,0.17090102,0.21705933
56.500,0.17052597,0.22098174
57.000,0.15168344,0.22468338
57.500,0.11767560,0.22777785
58.000,0.07343386,0.22997337
58.500,0.02488102,0.23110284
59.000,-0.02180089,0.23113823
59.500,-0.06090910,0.23018803
60.000,-0.08787915,0.22847871
60.500,-0.09979036,0.22632271
61.000,-0.09566298,0.22407728
61.500,-0.07651718,0.22209923
62.000,-0.04519156,0.22070100
62.500,-0.00594783,0.22011350
63.000,0.03608652,0.22045974
63.500,0.07556562,0.22174243
64.000,0.10758060,0.22384647
64.500,0.12824064,0.22655565
65.000,0.13510961,0.22958110
65.500,0.12744890,0.23259744
66.000,0.10624429,0.23528218
66.500,0.07402371,0.23735315
67.000,0.03449834,0.23859988
67.500,-0.00792037,0.23890522
68.000,-0.04866361,0.23825517
68.500,-0.08354125,0.23673636
69.000,-0.10920856,0.23452199
69.500,-0.12351295,0.23184842
70.000,-0.12568561,0.22898555
70.500,-0.11636222,0.22620484
71.000,-0.09743692,0.22374865
71.500,-0.07177310,0.22180472
72.000,-0.04281139,0.22048834
72.500,-0.01412681,0.21983422
73.000,0.01100813,0.21979839
73.500,0.03000006,0.22026950
74.000,0.04120713,0.22108755
74.500,0.04407894,0.22206734
75.000,0.03915470,0.22302355
75.500,0.02792888,0.22379423
76.000,0.01260926,0.22425994
76.500,-0.00419681,0.22435659
