# diffusion from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-native-spline/N64/seg2/H2O-64_feature-nnp-native-spline_seg2-pos-1.xyz
# species: O   n_atoms: 64   n_frames: 20001
# cell_ang: 12.4200 12.4200 12.4200
# dt_ps: 0.00500
# fit_window_ps: 20.000 79.995
# viscosity_mPa_s: 0.776061
# D_PBC_ang2_ps: 0.27999365
# YH_correction_ang2_ps: 0.06468309
# D_0_ang2_ps: 0.34467674
lag_ps,msd_ang2
0.00000,-0.00000000
0.00500,0.00113593
0.01000,0.00439590
0.01500,0.00968064
0.02000,0.01680872
0.02500,0.02568163
0.03000,0.03604623
0.03500,0.04769618
0.04000,0.06045573
0.04500,0.07419261
0.05000,0.08871621
0.05500,0.10381798
0.06000,0.11936812
0.06500,0.13525721
0.07000,0.15136384
0.07500,0.16754720
0.08000,0.18374926
0.08500,0.19994695
0.09000,0.21609871
0.09500,0.23214976
0.10000,0.24809600
0.10500,0.26397135
0.11000,0.27978195
0.11500,0.29551438
0.12000,0.31118832
0.12500,0.32684908
0.13000,0.34251745
0.13500,0.35818263
0.14000,0.37385741
0.14500,0.38957151
0.15000,0.40533386
0.15500,0.42112217
0.16000,0.43692811
0.16500,0.45276238
0.17000,0.46861759
0.17500,0.48446347
0.18000,0.50027810
0.18500,0.51606161
0.19000,0.53180255
0.19500,0.54747174
0.20000,0.56304797
0.20500,0.57852957
0.21000,0.59391097
0.21500,0.60917049
0.22000,0.62429408
0.22500,0.63928348
0.23000,0.65413993
0.23500,0.66885064
0.24000,0.68340678
0.24500,0.69781270
0.25000,0.71207249
0.25500,0.72617922
0.26000,0.74012672
0.26500,0.75391959
0.27000,0.76756240
0.27500,0.78105046
0.28000,0.79437867
0.28500,0.80755013
0.29000,0.82056924
0.29500,0.83343297
0.30000,0.84613780
0.30500,0.85868634
0.31000,0.87108306
0.31500,0.88332682
0.32000,0.89541551
0.32500,0.90735209
0.33000,0.91914141
0.33500,0.93078457
0.34000,0.94228163
0.34500,0.95363659
0.35000,0.96485501
0.35500,0.97594003
0.36000,0.98689339
0.36500,0.99771968
0.37000,1.00842443
0.37500,1.01901121
0.38000,1.02948208
0.38500,1.03984110
0.39000,1.05009296
0.39500,1.06024101
0.40000,1.07028727
0.40500,1.08023500
0.41000,1.09008810
0.41500,1.09984921
0.42000,1.10952024
0.42500,1.11910350
0.43000,1.12860246
0.43500,1.13801942
0.44000,1.14735678
0.44500,1.15661696
0.45000,1.16580361
0.45500,1.17491927
0.46000,1.18396695
0.46500,1.19294922
0.47000,1.20186959
0.47500,1.21073079
0.48000,1.21953583
0.48500,1.22828757
0.49000,1.23698903
0.49500,1.24564306
0.50000,1.25425218
0.50500,1.26281917
0.51000,1.27134661
0.51500,1.27983724
0.52000,1.28829363
0.52500,1.29671854
0.53000,1.30511462
0.53500,1.31348445
0.54000,1.32183034
0.54500,1.33015443
0.55000,1.33845882
0.55500,1.34674533
0.56000,1.35501586
0.56500,1.36327182
0.57000,1.37151456
0.57500,1.37974494
0.58000,1.38796417
0.58500,1.39617271
0.59000,1.40437095
0.59500,1.41255903
0.60000,1.42073755
0.60500,1.42890667
0.61000,1.43706652
0.61500,1.44521711
0.62000,1.45335876
0.62500,1.46149121
0.63000,1.46961404
0.63500,1.47772688
0.64000,1.48582969
0.64500,1.49392218
0.65000,1.50200379
0.65500,1.51007443
0.66000,1.51813419
0.66500,1.52618339
0.67000,1.53422201
0.67500,1.54225071
0.68000,1.55027039
0.68500,1.55828206
0.69000,1.56628638
0.69500,1.57428452
0.70000,1.58227766
0.70500,1.59026686
0.71000,1.59825287
0.71500,1.60623678
0.72000,1.61421986
0.72500,1.62220276
0.73000,1.63018580
0.73500,1.63816941
0.74000,1.64615405
0.74500,1.65413971
0.75000,1.66212610
0.75500,1.67011321
0.76000,1.67810159
0.76500,1.68609132
0.77000,1.69408232
0.77500,1.70207460
0.78000,1.71006886
0.78500,1.71806534
0.79000,1.72606412
0.79500,1.73406536
0.80000,1.74206982
0.80500,1.75007800
0.81000,1.75808998
0.81500,1.76610615
0.82000,1.77412732
0.82500,1.78215417
0.83000,1.79018657
0.83500,1.79822451
0.84000,1.80626824
0.84500,1.81431797
0.85000,1.82237304
0.85500,1.83043268
0.86000,1.83849640
0.86500,1.84656366
0.87000,1.85463322
0.87500,1.86270373
0.88000,1.87077436
0.88500,1.87884450
0.89000,1.88691301
0.89500,1.89497908
0.90000,1.90304222
0.90500,1.91110262
0.91000,1.91915979
0.91500,1.92721323
0.92000,1.93526244
0.92500,1.94330750
0.93000,1.95134801
0.93500,1.95938364
0.94000,1.96741415
0.94500,1.97543971
0.95000,1.98346021
0.95500,1.99147524
0.96000,1.99948451
0.96500,2.00748782
0.97000,2.01548451
0.97500,2.02347372
0.98000,2.03145469
0.98500,2.03942680
0.99000,2.04738938
0.99500,2.05534207
1.00000,2.06328462
1.00500,2.07121687
1.01000,2.07913832
1.01500,2.08704863
1.02000,2.09494752
1.02500,2.10283456
1.03000,2.11070945
1.03500,2.11857209
1.04000,2.12642307
1.04500,2.13426257
1.05000,2.14209119
1.05500,2.14990929
1.06000,2.15771823
1.06500,2.16551863
1.07000,2.17331144
1.07500,2.18109708
1.08000,2.18887689
1.08500,2.19665140
1.09000,2.20442121
1.09500,2.21218637
1.10000,2.21994761
1.10500,2.22770517
1.11000,2.23545887
1.11500,2.24320829
1.12000,2.25095351
1.12500,2.25869483
1.13000,2.26643183
1.13500,2.27416425
1.14000,2.28189191
1.14500,2.28961521
1.15000,2.29733355
1.15500,2.30504682
1.16000,2.31275498
1.16500,2.32045877
1.17000,2.32815827
1.17500,2.33585361
1.18000,2.34354534
1.18500,2.35123446
1.19000,2.35892169
1.19500,2.36660713
1.20000,2.37429175
1.20500,2.38197632
1.21000,2.38966159
1.21500,2.39734744
1.22000,2.40503427
1.22500,2.41272236
1.23000,2.42041208
1.23500,2.42810311
1.24000,2.43579536
1.24500,2.44348871
1.25000,2.45118309
1.25500,2.45887802
1.26000,2.46657310
1.26500,2.47426799
1.27000,2.48196254
1.27500,2.48965640
1.28000,2.49734935
1.28500,2.50504123
1.29000,2.51273227
1.29500,2.52042225
1.30000,2.52811099
1.30500,2.53579843
1.31000,2.54348514
1.31500,2.55117140
1.32000,2.55885739
1.32500,2.56654347
1.33000,2.57423042
1.33500,2.58191913
1.34000,2.58960957
1.34500,2.59730177
1.35000,2.60499602
1.35500,2.61269268
1.36000,2.62039148
1.36500,2.62809192
1.37000,2.63579393
1.37500,2.64349753
1.38000,2.65120224
1.38500,2.65890728
1.39000,2.66661220
1.39500,2.67431688
1.40000,2.68202124
1.40500,2.68972478
1.41000,2.69742761
1.41500,2.70513019
1.42000,2.71283261
1.42500,2.72053474
1.43000,2.72823670
1.43500,2.73593919
1.44000,2.74364235
1.44500,2.75134602
1.45000,2.75905017
1.45500,2.76675512
1.46000,2.77446099
1.46500,2.78216758
1.47000,2.78987452
1.47500,2.79758205
1.48000,2.80529013
1.48500,2.81299868
1.49000,2.82070743
1.49500,2.82841682
1.50000,2.83612681
1.50500,2.84383728
1.51000,2.85154815
1.51500,2.85925961
1.52000,2.86697180
1.52500,2.87468428
1.53000,2.88239710
1.53500,2.89011048
1.54000,2.89782511
1.54500,2.90554121
1.55000,2.91325929
1.55500,2.92098010
1.56000,2.92870440
1.56500,2.93643229
1.57000,2.94416367
1.57500,2.95189882
1.58000,2.95963791
1.58500,2.96738072
1.59000,2.97512697
1.59500,2.98287646
1.60000,2.99062925
1.60500,2.99838497
1.61000,3.00614305
1.61500,3.01390292
1.62000,3.02166437
1.62500,3.02942686
1.63000,3.03719007
1.63500,3.04495380
1.64000,3.05271802
1.64500,3.06048248
1.65000,3.06824666
1.65500,3.07601032
1.66000,3.08377333
1.66500,3.09153562
1.67000,3.09929678
1.67500,3.10705687
1.68000,3.11481600
1.68500,3.12257470
1.69000,3.13033262
1.69500,3.13808982
1.70000,3.14584618
1.70500,3.15360216
1.71000,3.16135735
1.71500,3.16911189
1.72000,3.17686595
1.72500,3.18462040
1.73000,3.19237536
1.73500,3.20013114
1.74000,3.20788826
1.74500,3.21564767
1.75000,3.22340957
1.75500,3.23117375
1.76000,3.23894015
1.76500,3.24670903
1.77000,3.25448036
1.77500,3.26225336
1.78000,3.27002774
1.78500,3.27780368
1.79000,3.28558093
1.79500,3.29335833
1.80000,3.30113485
1.80500,3.30891012
1.81000,3.31668366
1.81500,3.32445430
1.82000,3.33222130
1.82500,3.33998454
1.83000,3.34774455
1.83500,3.35550107
1.84000,3.36325466
1.84500,3.37100625
1.85000,3.37875733
1.85500,3.38650837
1.86000,3.39426004
1.86500,3.40201317
1.87000,3.40976880
1.87500,3.41752732
1.88000,3.42528904
1.88500,3.43305485
1.89000,3.44082507
1.89500,3.44859980
1.90000,3.45637852
1.90500,3.46416140
1.91000,3.47194811
1.91500,3.47973858
1.92000,3.48753172
1.92500,3.49532773
1.93000,3.50312600
1.93500,3.51092630
1.94000,3.51872737
1.94500,3.52652935
1.95000,3.53433198
1.95500,3.54213566
1.96000,3.54994024
1.96500,3.55774692
1.97000,3.56555672
1.97500,3.57337072
1.98000,3.58118935
1.98500,3.58901314
1.99000,3.59684307
1.99500,3.60467965
2.00000,3.61252318
2.00500,3.62037380
2.01000,3.62823235
2.01500,3.63609896
2.02000,3.64397362
2.02500,3.65185577
2.03000,3.65974556
2.03500,3.66764221
2.04000,3.67554529
2.04500,3.68345359
2.05000,3.69136726
2.05500,3.69928517
2.06000,3.70720694
2.06500,3.71513146
2.07000,3.72305902
2.07500,3.73098925
2.08000,3.73892214
2.08500,3.74685755
2.09000,3.75479599
2.09500,3.76273799
2.10000,3.77068384
2.10500,3.77863408
2.11000,3.78658956
2.11500,3.79455145
2.12000,3.80252017
2.12500,3.81049633
2.13000,3.81848027
2.13500,3.82647279
2.14000,3.83447365
2.14500,3.84248303
2.15000,3.85050045
2.15500,3.85852613
2.16000,3.86655937
2.16500,3.87459980
2.17000,3.88264633
2.17500,3.89069843
2.18000,3.89875493
2.18500,3.90681454
2.19000,3.91487596
2.19500,3.92293779
2.20000,3.93099905
2.20500,3.93905848
2.21000,3.94711547
2.21500,3.95516917
2.22000,3.96321910
2.22500,3.97126479
2.23000,3.97930604
2.23500,3.98734294
2.24000,3.99537544
2.24500,4.00340408
2.25000,4.01142877
2.25500,4.01945015
2.26000,4.02746824
2.26500,4.03548389
2.27000,4.04349711
2.27500,4.05150853
2.28000,4.05951822
2.28500,4.06752642
2.29000,4.07553302
2.29500,4.08353801
2.30000,4.09154176
2.30500,4.09954408
2.31000,4.10754528
2.31500,4.11554487
2.32000,4.12354331
2.32500,4.13154048
2.33000,4.13953667
2.33500,4.14753126
2.34000,4.15552446
2.34500,4.16351630
2.35000,4.17150697
2.35500,4.17949634
2.36000,4.18748467
2.36500,4.19547251
2.37000,4.20346016
2.37500,4.21144777
2.38000,4.21943549
2.38500,4.22742379
2.39000,4.23541302
2.39500,4.24340325
2.40000,4.25139483
2.40500,4.25938807
2.41000,4.26738333
2.41500,4.27538035
2.42000,4.28337883
2.42500,4.29137887
2.43000,4.29938060
2.43500,4.30738369
2.44000,4.31538796
2.44500,4.32339349
2.45000,4.33140087
2.45500,4.33941002
2.46000,4.34742081
2.46500,4.35543321
2.47000,4.36344790
2.47500,4.37146512
2.48000,4.37948559
2.48500,4.38750997
2.49000,4.39553931
2.49500,4.40357401
2.50000,4.41161444
2.50500,4.41966120
2.51000,4.42771474
2.51500,4.43577537
2.52000,4.44384290
2.52500,4.45191735
2.53000,4.45999843
2.53500,4.46808588
2.54000,4.47617926
2.54500,4.48427848
2.55000,4.49238348
2.55500,4.50049388
2.56000,4.50860906
2.56500,4.51672838
2.57000,4.52485163
2.57500,4.53297796
2.58000,4.54110673
2.58500,4.54923740
2.59000,4.55736966
2.59500,4.56550294
2.60000,4.57363662
2.60500,4.58176983
2.61000,4.58990186
2.61500,4.59803203
2.62000,4.60615953
2.62500,4.61428370
2.63000,4.62240383
2.63500,4.63051983
2.64000,4.63863115
2.64500,4.64673809
2.65000,4.65484061
2.65500,4.66293884
2.66000,4.67103278
2.66500,4.67912267
2.67000,4.68720883
2.67500,4.69529120
2.68000,4.70337024
2.68500,4.71144637
2.69000,4.71952035
2.69500,4.72759252
2.70000,4.73566306
2.70500,4.74373240
2.71000,4.75180083
2.71500,4.75986816
2.72000,4.76793375
2.72500,4.77599742
2.73000,4.78405857
2.73500,4.79211668
2.74000,4.80017052
2.74500,4.80821981
2.75000,4.81626394
2.75500,4.82430281
2.76000,4.83233557
2.76500,4.84036234
2.77000,4.84838309
2.77500,4.85639833
2.78000,4.86440761
2.78500,4.87241141
2.79000,4.88041010
2.79500,4.88840449
2.80000,4.89639463
2.80500,4.90438096
2.81000,4.91236451
2.81500,4.92034631
2.82000,4.92832773
2.82500,4.93630956
2.83000,4.94429360
2.83500,4.95228104
2.84000,4.96027324
2.84500,4.96827052
2.85000,4.97627392
2.85500,4.98428421
2.86000,4.99230245
2.86500,5.00032845
2.87000,5.00836246
2.87500,5.01640484
2.88000,5.02445594
2.88500,5.03251538
2.89000,5.04058254
2.89500,5.04865743
2.90000,5.05674020
2.90500,5.06483075
2.91000,5.07292845
2.91500,5.08103352
2.92000,5.08914577
2.92500,5.09726521
2.93000,5.10539105
2.93500,5.11352327
2.94000,5.12166170
2.94500,5.12980651
2.95000,5.13795715
2.95500,5.14611350
2.96000,5.15427565
2.96500,5.16244335
2.97000,5.17061593
2.97500,5.17879264
2.98000,5.18697311
2.98500,5.19515656
2.99000,5.20334210
2.99500,5.21152859
3.00000,5.21971545
3.00500,5.22790188
3.01000,5.23608711
3.01500,5.24427049
3.02000,5.25245176
3.02500,5.26063079
3.03000,5.26880752
3.03500,5.27698169
3.04000,5.28515316
3.04500,5.29332213
3.05000,5.30148887
3.05500,5.30965345
3.06000,5.31781601
3.06500,5.32597742
3.07000,5.33413855
3.07500,5.34230000
3.08000,5.35046235
3.08500,5.35862645
3.09000,5.36679331
3.09500,5.37496321
3.10000,5.38313610
3.10500,5.39131190
3.11000,5.39949101
3.11500,5.40767304
3.12000,5.41585742
3.12500,5.42404328
3.13000,5.43223035
3.13500,5.44041788
3.14000,5.44860443
3.14500,5.45678831
3.15000,5.46496825
3.15500,5.47314288
3.16000,5.48131066
3.16500,5.48947005
3.17000,5.49762063
3.17500,5.50576185
3.18000,5.51389328
3.18500,5.52201415
3.19000,5.53012540
3.19500,5.53822784
3.20000,5.54632249
3.20500,5.55440948
3.21000,5.56249022
3.21500,5.57056578
3.22000,5.57863686
3.22500,5.58670385
3.23000,5.59476771
3.23500,5.60283004
3.24000,5.61089188
3.24500,5.61895410
3.25000,5.62701742
3.25500,5.63508296
3.26000,5.64315102
3.26500,5.65122144
3.27000,5.65929448
3.27500,5.66737097
3.28000,5.67545118
3.28500,5.68353461
3.29000,5.69162093
3.29500,5.69971056
3.30000,5.70780329
3.30500,5.71589853
3.31000,5.72399553
3.31500,5.73209448
3.32000,5.74019476
3.32500,5.74829559
3.33000,5.75639612
3.33500,5.76449628
3.34000,5.77259536
3.34500,5.78069253
3.35000,5.78878672
3.35500,5.79687770
3.36000,5.80496489
3.36500,5.81304758
3.37000,5.82112500
3.37500,5.82919717
3.38000,5.83726373
3.38500,5.84532429
3.39000,5.85337865
3.39500,5.86142754
3.40000,5.86947156
