# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/master/N64/seg2/H2O-64_master_seg2-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.512287
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95769851,0.02258518
1.000,0.83578783,0.04327591
1.500,0.64857809,0.06040044
2.000,0.41774156,0.07270214
2.500,0.16947355,0.07947661
3.000,-0.06876007,0.08063850
3.500,-0.27141521,0.07671403
4.000,-0.41762320,0.06876487
4.500,-0.49326051,0.05825637
5.000,-0.49221331,0.04688736
5.500,-0.41680457,0.03640039
6.000,-0.27740263,0.02839160
6.500,-0.09125909,0.02413850
7.000,0.11934681,0.02446253
7.500,0.32953175,0.02964106
8.000,0.51460059,0.03937948
8.500,0.65292039,0.05284870
9.000,0.72851805,0.06878580
9.500,0.73302453,0.08564702
10.000,0.66665148,0.10179452
10.500,0.53803279,0.11569248
11.000,0.36296341,0.12608691
11.500,0.16226201,0.13214623
12.000,-0.04088240,0.13354653
12.500,-0.22367964,0.13049439
13.000,-0.36626695,0.12368841
13.500,-0.45373813,0.11422834
14.000,-0.47752291,0.10348476
14.500,-0.43605848,0.09294514
15.000,-0.33475742,0.08405255
15.500,-0.18531357,0.07805270
16.000,-0.00441336,0.07586389
16.500,0.18804973,0.07798243
17.000,0.37111655,0.08443331
17.500,0.52506269,0.09477217
18.000,0.63360887,0.10813929
18.500,0.68576470,0.12336038
19.000,0.67704848,0.13908260
19.500,0.60990107,0.15392962
20.000,0.49323359,0.16665604
20.500,0.34118828,0.17628243
21.000,0.17131357,0.18219496
21.500,0.00242827,0.18419935
22.000,-0.14753474,0.18252531
22.500,-0.26344991,0.17778395
23.000,-0.33449606,0.17088569
23.500,-0.35511321,0.16292994
24.000,-0.32537110,0.15507947
24.500,-0.25075459,0.14843294
25.000,-0.14141336,0.14390866
25.500,-0.01095907,0.14215080
26.000,0.12507255,0.14346728
26.500,0.25094356,0.14780522
27.000,0.35244086,0.15476623
27.500,0.41841690,0.16365930
28.000,0.44196457,0.17358518
28.500,0.42108691,0.18354185
29.000,0.35878772,0.19253895
29.500,0.26258778,0.19970751
30.000,0.14354691,0.20439293
30.500,0.01493142,0.20622123
31.000,-0.10930112,0.20513252
31.500,-0.21602178,0.20137940
32.000,-0.29429443,0.19549209
32.500,-0.33645542,0.18821538
33.000,-0.33881882,0.18042502
