# diffusion from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/master/N64/seg5/H2O-64_master_seg5-pos-1.xyz
# species: O   n_atoms: 64   n_frames: 20001
# cell_ang: 12.4200 12.4200 12.4200
# dt_ps: 0.00500
# fit_window_ps: 20.000 79.995
# viscosity_mPa_s: 0.641124
# D_PBC_ang2_ps: 0.31449258
# YH_correction_ang2_ps: 0.07829690
# D_0_ang2_ps: 0.39278948
lag_ps,msd_ang2
0.00000,-0.00000000
0.00500,0.00111892
0.01000,0.00432733
0.01500,0.00952845
0.02000,0.01654172
0.02500,0.02527210
0.03000,0.03546812
0.03500,0.04692771
0.04000,0.05947700
0.04500,0.07298727
0.05000,0.08726864
0.05500,0.10211531
0.06000,0.11739823
0.06500,0.13300956
0.07000,0.14882731
0.07500,0.16471117
0.08000,0.18060261
0.08500,0.19647801
0.09000,0.21229411
0.09500,0.22799545
0.10000,0.24357690
0.10500,0.25907175
0.11000,0.27448464
0.11500,0.28980203
0.12000,0.30504318
0.12500,0.32025354
0.13000,0.33545316
0.13500,0.35063150
0.14000,0.36580198
0.14500,0.38099484
0.15000,0.39621931
0.15500,0.41145390
0.16000,0.42669217
0.16500,0.44194633
0.17000,0.45721036
0.17500,0.47245546
0.18000,0.48766165
0.18500,0.50283025
0.19000,0.51795031
0.19500,0.53299327
0.20000,0.54793887
0.20500,0.56278600
0.21000,0.57752874
0.21500,0.59214560
0.22000,0.60662269
0.22500,0.62096180
0.23000,0.63516313
0.23500,0.64921390
0.24000,0.66310553
0.24500,0.67684277
0.25000,0.69042849
0.25500,0.70385541
0.26000,0.71711703
0.26500,0.73021789
0.27000,0.74316132
0.27500,0.75594238
0.28000,0.76855624
0.28500,0.78100623
0.29000,0.79329606
0.29500,0.80542221
0.30000,0.81738152
0.30500,0.82917678
0.31000,0.84081227
0.31500,0.85228701
0.32000,0.86360045
0.32500,0.87475667
0.33000,0.88576099
0.33500,0.89661505
0.34000,0.90732040
0.34500,0.91788235
0.35000,0.92830679
0.35500,0.93859697
0.36000,0.94875579
0.36500,0.95878869
0.37000,0.96870135
0.37500,0.97849706
0.38000,0.98817868
0.38500,0.99775055
0.39000,1.00721703
0.39500,1.01658062
0.40000,1.02584379
0.40500,1.03501021
0.41000,1.04408346
0.41500,1.05306579
0.42000,1.06195943
0.42500,1.07076758
0.43000,1.07949318
0.43500,1.08813823
0.44000,1.09670489
0.44500,1.10519641
0.45000,1.11361577
0.45500,1.12196529
0.46000,1.13024749
0.46500,1.13846571
0.47000,1.14662270
0.47500,1.15472051
0.48000,1.16276134
0.48500,1.17074809
0.49000,1.17868319
0.49500,1.18656866
0.50000,1.19440708
0.50500,1.20220160
0.51000,1.20995506
0.51500,1.21766971
0.52000,1.22534828
0.52500,1.23299386
0.53000,1.24060914
0.53500,1.24819600
0.54000,1.25575677
0.54500,1.26329393
0.55000,1.27080976
0.55500,1.27830564
0.56000,1.28578349
0.56500,1.29324562
0.57000,1.30069376
0.57500,1.30812890
0.58000,1.31555185
0.58500,1.32296363
0.59000,1.33036437
0.59500,1.33775390
0.60000,1.34513226
0.60500,1.35249983
0.61000,1.35985693
0.61500,1.36720310
0.62000,1.37453845
0.62500,1.38186307
0.63000,1.38917741
0.63500,1.39648080
0.64000,1.40377341
0.64500,1.41105569
0.65000,1.41832831
0.65500,1.42559116
0.66000,1.43284450
0.66500,1.44008885
0.67000,1.44732478
0.67500,1.45455228
0.68000,1.46177154
0.68500,1.46898309
0.69000,1.47618737
0.69500,1.48338446
0.70000,1.49057435
0.70500,1.49775746
0.71000,1.50493396
0.71500,1.51210381
0.72000,1.51926673
0.72500,1.52642295
0.73000,1.53357237
0.73500,1.54071471
0.74000,1.54784964
0.74500,1.55497719
0.75000,1.56209760
0.75500,1.56921060
0.76000,1.57631599
0.76500,1.58341392
0.77000,1.59050439
0.77500,1.59758708
0.78000,1.60466123
0.78500,1.61172674
0.79000,1.61878325
0.79500,1.62583068
0.80000,1.63286818
0.80500,1.63989591
0.81000,1.64691355
0.81500,1.65392152
0.82000,1.66091984
0.82500,1.66790921
0.83000,1.67489019
0.83500,1.68186359
0.84000,1.68883033
0.84500,1.69579098
0.85000,1.70274645
0.85500,1.70969716
0.86000,1.71664376
0.86500,1.72358642
0.87000,1.73052531
0.87500,1.73746056
0.88000,1.74439230
0.88500,1.75132065
0.89000,1.75824501
0.89500,1.76516511
0.90000,1.77208034
0.90500,1.77899021
0.91000,1.78589353
0.91500,1.79278950
0.92000,1.79967763
0.92500,1.80655760
0.93000,1.81342878
0.93500,1.82029087
0.94000,1.82714420
0.94500,1.83398883
0.95000,1.84082472
0.95500,1.84765192
0.96000,1.85447117
0.96500,1.86128337
0.97000,1.86808889
0.97500,1.87488840
0.98000,1.88168282
0.98500,1.88847296
0.99000,1.89525875
0.99500,1.90204024
1.00000,1.90881773
1.00500,1.91559144
1.01000,1.92236096
1.01500,1.92912577
1.02000,1.93588585
1.02500,1.94264087
1.03000,1.94939015
1.03500,1.95613289
1.04000,1.96286907
1.04500,1.96959888
1.05000,1.97632236
1.05500,1.98303977
1.06000,1.98975183
1.06500,1.99645962
1.07000,2.00316343
1.07500,2.00986355
1.08000,2.01656032
1.08500,2.02325462
1.09000,2.02994648
1.09500,2.03663585
1.10000,2.04332277
1.10500,2.05000756
1.11000,2.05668986
1.11500,2.06336901
1.12000,2.07004458
1.12500,2.07671637
1.13000,2.08338371
1.13500,2.09004580
1.14000,2.09670187
1.14500,2.10335172
1.15000,2.10999459
1.15500,2.11662985
1.16000,2.12325673
1.16500,2.12987520
1.17000,2.13648467
1.17500,2.14308484
1.18000,2.14967520
1.18500,2.15625605
1.19000,2.16282731
1.19500,2.16938923
1.20000,2.17594236
1.20500,2.18248803
1.21000,2.18902738
1.21500,2.19556177
1.22000,2.20209283
1.22500,2.20862249
1.23000,2.21515249
1.23500,2.22168393
1.24000,2.22821836
1.24500,2.23475713
1.25000,2.24130165
1.25500,2.24785233
1.26000,2.25441033
1.26500,2.26097624
1.27000,2.26755085
1.27500,2.27413409
1.28000,2.28072686
1.28500,2.28732969
1.29000,2.29394315
1.29500,2.30056700
1.30000,2.30720142
1.30500,2.31384640
1.31000,2.32050167
1.31500,2.32716642
1.32000,2.33383985
1.32500,2.34052152
1.33000,2.34721058
1.33500,2.35390584
1.34000,2.36060595
1.34500,2.36731017
1.35000,2.37401735
1.35500,2.38072590
1.36000,2.38743446
1.36500,2.39414218
1.37000,2.40084833
1.37500,2.40755167
1.38000,2.41425165
1.38500,2.42094791
1.39000,2.42764033
1.39500,2.43432827
1.40000,2.44101168
1.40500,2.44769049
1.41000,2.45436498
1.41500,2.46103493
1.42000,2.46770070
1.42500,2.47436279
1.43000,2.48102164
1.43500,2.48767714
1.44000,2.49432969
1.44500,2.50097991
1.45000,2.50762838
1.45500,2.51427502
1.46000,2.52092009
1.46500,2.52756396
