lag_fs,acf_norm_mean,acf_norm_sem
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,9.580672780000000222e-01,1.176818724103259741e-04
1.000000000000000000e+00,8.372170220000001439e-01,4.487690938043780147e-04
1.500000000000000000e+00,6.516090579999999077e-01,9.342307660819108850e-04
2.000000000000000000e+00,4.226936740000000192e-01,1.490361737510722357e-03
2.500000000000000000e+00,1.764077359999999817e-01,2.026279689316355919e-03
3.000000000000000000e+00,-6.004143399999999076e-02,2.461315482075794592e-03
3.500000000000000000e+00,-2.613375660000000211e-01,2.738756187468313185e-03
4.000000000000000000e+00,-4.067870319999999928e-01,2.834177867494207335e-03
4.500000000000000000e+00,-4.823751899999999537e-01,2.758343609931505382e-03
5.000000000000000000e+00,-4.820242119999999519e-01,2.555135686593574575e-03
5.500000000000000000e+00,-4.080177839999999945e-01,2.293620702406126005e-03
6.000000000000000000e+00,-2.706106300000000187e-01,2.048973330956264070e-03
6.500000000000000000e+00,-8.687176399999999021e-02,1.866903994651572963e-03
7.000000000000000000e+00,1.211590160000000083e-01,1.730974927552679119e-03
7.500000000000000000e+00,3.288735839999999966e-01,1.578802585121399059e-03
8.000000000000000000e+00,5.118571119999999475e-01,1.371472057784638285e-03
8.500000000000000000e+00,6.487251139999999916e-01,1.192291777328859537e-03
9.000000000000000000e+00,7.236839179999999816e-01,1.314147701939936399e-03
9.500000000000000000e+00,7.284456840000000932e-01,1.865718992283130163e-03
1.000000000000000000e+01,6.631909160000000192e-01,2.642366854504878473e-03
1.050000000000000000e+01,5.364147220000000660e-01,3.431042387597971546e-03
1.100000000000000000e+01,3.636873879999999448e-01,4.076324107456867282e-03
1.150000000000000000e+01,1.655505640000000112e-01,4.464634020863972319e-03
1.200000000000000000e+01,-3.509874000000000327e-02,4.526498053696697589e-03
1.250000000000000000e+01,-2.157424240000000160e-01,4.243988507730197916e-03
1.300000000000000000e+01,-3.567422259999999956e-01,3.657406534448418879e-03
1.350000000000000000e+01,-4.433494879999999583e-01,2.876526687782337936e-03
1.400000000000000000e+01,-4.670731639999999851e-01,2.119936046192432040e-03
1.450000000000000000e+01,-4.263465840000000284e-01,1.778906028438820329e-03
1.500000000000000000e+01,-3.264961720000000289e-01,2.070083590165863133e-03
1.550000000000000000e+01,-1.790537640000000041e-01,2.599486150704786568e-03
1.600000000000000000e+01,-4.809640000000000659e-04,2.984721225055365044e-03
1.650000000000000000e+01,1.895958859999999913e-01,3.049909589588843412e-03
1.700000000000000000e+01,3.704987739999999752e-01,2.734506173020278923e-03
1.750000000000000000e+01,5.227647799999999290e-01,2.066625361484262114e-03
1.800000000000000000e+01,6.303219879999999442e-01,1.226838608005960743e-03
1.850000000000000000e+01,6.823041859999999792e-01,1.064118217129101989e-03
1.900000000000000000e+01,6.742531579999999636e-01,2.049708977890280816e-03
1.950000000000000000e+01,6.085300819999999167e-01,3.189611859713346702e-03
2.000000000000000000e+01,4.938758300000000157e-01,4.122173290445236248e-03
2.050000000000000000e+01,3.441960340000000396e-01,4.683764845381965802e-03
2.100000000000000000e+01,1.767664739999999790e-01,4.783574028412853306e-03
2.150000000000000000e+01,1.012853399999999980e-02,4.396473164599778820e-03
2.200000000000000000e+01,-1.380386640000000054e-01,3.564502177335005396e-03
2.250000000000000000e+01,-2.528160179999999757e-01,2.403266900074563315e-03
2.300000000000000000e+01,-3.235229599999999150e-01,1.195602693887066331e-03
2.350000000000000000e+01,-3.446612959999999504e-01,1.190362049439583868e-03
2.400000000000000000e+01,-3.162764060000000099e-01,2.362922515389781573e-03
2.450000000000000000e+01,-2.437420880000000234e-01,3.455735628022489625e-03
2.500000000000000000e+01,-1.370177039999999902e-01,4.189964374414896671e-03
2.550000000000000000e+01,-9.461652000000000950e-03,4.455644658860713307e-03
2.600000000000000000e+01,1.236814939999999891e-01,4.220052437089616415e-03
2.650000000000000000e+01,2.469710079999999641e-01,3.530056114051730465e-03
2.700000000000000000e+01,3.464623079999999966e-01,2.547516917917132598e-03
2.750000000000000000e+01,4.112152540000000300e-01,1.735100448670334880e-03
2.800000000000000000e+01,4.344441279999999850e-01,2.027021850295154977e-03
2.850000000000000000e+01,4.141737600000000019e-01,3.129959945841159167e-03
2.900000000000000000e+01,3.533294339999999978e-01,4.232417872609696777e-03
2.950000000000000000e+01,2.592640460000000258e-01,5.004932979965460473e-03
3.000000000000000000e+01,1.428003800000000045e-01,5.298903007020415272e-03
3.050000000000000000e+01,1.692464399999999911e-02,5.058173694637818629e-03
3.100000000000000000e+01,-1.046996079999999996e-01,4.304524016990030587e-03
3.150000000000000000e+01,-2.092217880000000196e-01,3.138016333060425142e-03
3.200000000000000000e+01,-2.859403799999999940e-01,1.786022337337920575e-03
3.250000000000000000e+01,-3.273582280000000289e-01,1.163281882994832367e-03
3.300000000000000000e+01,-3.298694780000000493e-01,2.256173545859008374e-03
3.350000000000000000e+01,-2.940303180000000127e-01,3.577548342460793070e-03
3.400000000000000000e+01,-2.244034360000000117e-01,4.605053455212648403e-03
3.450000000000000000e+01,-1.290011500000000089e-01,5.173064635084313918e-03
3.500000000000000000e+01,-1.838503000000000012e-02,5.209347156428528573e-03
3.550000000000000000e+01,9.548897599999998931e-02,4.715268638727383374e-03
3.600000000000000000e+01,2.005638900000000224e-01,3.770120347232963805e-03
3.650000000000000000e+01,2.859782879999999694e-01,2.563750793133768788e-03
3.700000000000000000e+01,3.432247440000000260e-01,1.615962233542606995e-03
3.750000000000000000e+01,3.670392960000000149e-01,1.994806936624701418e-03
3.800000000000000000e+01,3.559196919999999542e-01,3.152744234768180016e-03
3.850000000000000000e+01,3.122140340000000291e-01,4.206393729803003731e-03
3.900000000000000000e+01,2.417740199999999784e-01,4.861071279893965438e-03
3.950000000000000000e+01,1.532207040000000131e-01,4.994583476500914603e-03
4.000000000000000000e+01,5.691634800000000549e-02,4.572791738416914949e-03
4.050000000000000000e+01,-3.623224399999999679e-02,3.634174405552930646e-03
4.100000000000000000e+01,-1.159990999999999939e-01,2.281781491144585158e-03
4.150000000000000000e+01,-1.739564800000000244e-01,7.029690545464974301e-04
4.200000000000000000e+01,-2.043653320000000106e-01,1.142435524655110828e-03
4.250000000000000000e+01,-2.047486460000000064e-01,2.746441478558390038e-03
4.300000000000000000e+01,-1.760933839999999917e-01,4.099154681900400547e-03
4.350000000000000000e+01,-1.226660739999999999e-01,5.038262328185779716e-03
4.400000000000000000e+01,-5.146757600000000099e-02,5.463258775226193485e-03
4.450000000000000000e+01,2.860931400000000374e-02,5.334604165567112706e-03
4.500000000000000000e+01,1.078231580000000023e-01,4.679681575006358271e-03
4.550000000000000000e+01,1.767084879999999969e-01,3.599684777605393834e-03
