lag_ps,msd_mean,msd_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.109476000000000299e-03,2.364079749077852057e-05
1.000000000000000021e-02,4.292856000000000276e-03,9.321532693715125540e-05
1.499999999999999944e-02,9.452297999999999603e-03,2.079437089310469345e-04
2.000000000000000042e-02,1.640882199999999999e-02,3.672698756963331925e-04
2.500000000000000139e-02,2.506571799999999725e-02,5.705492575878085611e-04
2.999999999999999889e-02,3.517313199999999584e-02,8.167536030431700109e-04
3.500000000000000333e-02,4.652980599999999300e-02,1.102581465369339682e-03
4.000000000000000083e-02,5.896175399999999817e-02,1.427655476593005408e-03
4.499999999999999833e-02,7.234029000000000154e-02,1.789654663232546255e-03
5.000000000000000278e-02,8.647494999999999488e-02,2.189175740944522552e-03
5.500000000000000028e-02,1.011610260000000150e-01,2.623350463126495041e-03
5.999999999999999778e-02,1.162682739999999909e-01,3.092419247464030067e-03
6.500000000000000222e-02,1.316892200000000235e-01,3.594562747580016052e-03
7.000000000000000666e-02,1.473024199999999895e-01,4.129284211864084862e-03
7.499999999999999722e-02,1.629699419999999788e-01,4.693414673415722410e-03
8.000000000000000167e-02,1.786348979999999864e-01,5.284588067197290052e-03
8.500000000000000611e-02,1.942750920000000103e-01,5.901021901815311013e-03
8.999999999999999667e-02,2.098498820000000153e-01,6.540645706458501386e-03
9.500000000000000111e-02,2.253063459999999907e-01,7.200740467264880179e-03
1.000000000000000056e-01,2.406422599999999967e-01,7.877986379434149047e-03
1.049999999999999961e-01,2.558923260000000033e-01,8.570819175358096453e-03
1.100000000000000006e-01,2.710637839999999743e-01,9.277150040296108097e-03
1.150000000000000050e-01,2.861454780000000087e-01,9.994459687081840016e-03
1.199999999999999956e-01,3.011588159999999958e-01,1.072015257460667316e-02
1.250000000000000000e-01,3.161502320000000310e-01,1.145319668730847805e-02
1.300000000000000044e-01,3.311404900000000096e-01,1.219330035492482978e-02
1.350000000000000089e-01,3.461201919999999932e-01,1.293926364463503578e-02
1.400000000000000133e-01,3.611027179999999892e-01,1.369029209254148463e-02
1.449999999999999900e-01,3.761177620000000221e-01,1.444655106703859535e-02
1.499999999999999944e-01,3.911733400000000360e-01,1.520925474279656922e-02
1.549999999999999989e-01,4.062471439999999490e-01,1.597859127048770894e-02
1.600000000000000033e-01,4.213312359999999979e-01,1.675480339978318092e-02
1.650000000000000078e-01,4.364355500000000054e-01,1.753917276784312460e-02
1.700000000000000122e-01,4.515518920000000103e-01,1.833364535196570916e-02
1.749999999999999889e-01,4.666493600000000685e-01,1.913928582821130403e-02
1.799999999999999933e-01,4.817064959999999840e-01,1.995652491459513206e-02
1.849999999999999978e-01,4.967225439999999881e-01,2.078663126141573961e-02
1.900000000000000022e-01,5.116850740000000730e-01,2.163122721771158427e-02
1.950000000000000067e-01,5.265641719999999415e-01,2.249097709830420039e-02
2.000000000000000111e-01,5.413388400000000988e-01,2.336577055718963569e-02
2.049999999999999878e-01,5.560069860000000919e-01,2.425600538868272898e-02
2.099999999999999922e-01,5.705619399999999342e-01,2.516253386021386623e-02
2.149999999999999967e-01,5.849817399999999168e-01,2.608518177975705996e-02
2.200000000000000011e-01,5.992525840000000326e-01,2.702306601790969987e-02
2.250000000000000056e-01,6.133764459999999641e-01,2.797567656802897942e-02
2.300000000000000100e-01,6.273537580000000391e-01,2.894307843693779900e-02
2.349999999999999867e-01,6.411719359999999979e-01,2.992465777324990195e-02
2.399999999999999911e-01,6.548229620000000084e-01,3.091917716532012125e-02
