lag_fs,running_eta_mean,running_eta_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.252913200000000032e-02,1.706312825187689586e-04
1.000000000000000000e+00,4.318516199999999916e-02,3.220357654888659550e-04
1.500000000000000000e+00,6.031486600000000170e-02,4.375651089563699163e-04
2.000000000000000000e+00,7.267478800000000405e-02,5.052631898367429411e-04
2.500000000000000000e+00,7.956676000000000026e-02,5.192744838040879536e-04
3.000000000000000000e+00,8.090413199999998972e-02,4.803484784341471338e-04
3.500000000000000000e+00,7.720462799999999737e-02,3.955733982259178739e-04
4.000000000000000000e+00,6.951539199999999530e-02,2.777651773242997423e-04
4.500000000000000000e+00,5.928291799999999695e-02,1.473543539024216493e-04
5.000000000000000000e+00,4.818487600000000148e-02,7.786341808577430335e-05
5.500000000000000000e+00,3.794257599999999869e-02,1.673411205472230784e-04
6.000000000000000000e+00,3.013301999999999994e-02,2.651750172433294667e-04
6.500000000000000000e+00,2.601879600000000028e-02,3.315311936846967881e-04
7.000000000000000000e+00,2.641246800000000144e-02,3.585154748598726746e-04
7.500000000000000000e+00,3.158982800000000035e-02,3.466868583952961626e-04
8.000000000000000000e+00,4.126258800000000282e-02,3.035810566784418667e-04
8.500000000000000000e+00,5.461547199999999824e-02,2.440506944755546149e-04
9.000000000000000000e+00,7.040542400000000811e-02,1.915472959506343072e-04
9.500000000000000000e+00,8.711234399999999434e-02,1.728136789608968776e-04
1.000000000000000000e+01,1.031228700000000054e-01,1.885024587903306559e-04
1.050000000000000000e+01,1.169235099999999805e-01,2.107223288358404402e-04
1.100000000000000000e+01,1.272777500000000228e-01,2.211431214620980632e-04
1.150000000000000000e+01,1.333646079999999956e-01,2.224503107977174093e-04
1.200000000000000000e+01,1.348629600000000039e-01,2.368206490152414512e-04
1.250000000000000000e+01,1.319742479999999885e-01,2.896365732499946903e-04
1.300000000000000000e+01,1.253849500000000228e-01,3.815446156873399152e-04
1.350000000000000000e+01,1.161771840000000167e-01,4.939097262516694295e-04
1.400000000000000000e+01,1.057004220000000022e-01,6.070592177489773401e-04
1.450000000000000000e+01,9.541979600000001505e-02,7.054414628202681234e-04
1.500000000000000000e+01,8.675713399999999964e-02,7.779768385279849964e-04
1.550000000000000000e+01,8.094023599999999874e-02,8.181530577746441843e-04
1.600000000000000000e+01,7.887475600000000420e-02,8.241133775555386067e-04
1.650000000000000000e+01,8.105109400000000408e-02,7.984693044669905751e-04
