cell,L_A,segment,D_1e-9_m2_s,T_K,frames_used,n_O,fit_lo_ps,fit_hi_ps
cube2,24.84,1,0.732717,298.21,10001,494,10.0,25.0
cube2,24.84,2,0.693650,297.27,10001,494,10.0,25.0
cube2,24.84,3,0.672788,299.83,10001,494,10.0,25.0
cube2,24.84,4,0.802659,299.77,10001,494,10.0,25.0
cube2,24.84,5,0.862528,299.94,10001,494,10.0,25.0
cube3,37.26,1,0.899200,303.19,16001,1668,10.0,25.0
cube3,37.26,2,0.689768,296.25,16001,1668,10.0,25.0
cube3,37.26,3,0.887750,301.77,16001,1668,10.0,25.0
cube3,37.26,4,0.834151,301.33,16001,1668,10.0,25.0
cube3,37.26,5,0.754628,297.51,16001,1668,10.0,25.0
