cell,L_A,segment,species,n_ions,D_1e-9_m2_s
cube2,24.84,1,Na,9,0.489232
cube2,24.84,1,Cl,9,0.514842
cube2,24.84,2,Na,9,0.251796
cube2,24.84,2,Cl,9,0.578560
cube2,24.84,3,Na,9,0.263743
cube2,24.84,3,Cl,9,0.365339
cube2,24.84,4,Na,9,0.478805
cube2,24.84,4,Cl,9,0.472826
cube2,24.84,5,Na,9,0.384963
cube2,24.84,5,Cl,9,0.640419
cube3,37.26,1,Na,30,0.526566
cube3,37.26,1,Cl,30,0.738841
cube3,37.26,2,Na,30,0.384395
cube3,37.26,2,Cl,30,0.514271
cube3,37.26,3,Na,30,0.511328
cube3,37.26,3,Cl,30,0.708303
cube3,37.26,4,Na,30,0.475444
cube3,37.26,4,Cl,30,0.651833
cube3,37.26,5,Na,30,0.463440
cube3,37.26,5,Cl,30,0.484590
