lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
0.000000000000000000e+00,-1.074588011915730518e-13,-4.903464049554164700e-13,5.940367406253468820e-15,7.154331108645219505e-14,-1.398071941617039141e-13
1.000000000000000056e-01,2.225894296336295430e-01,2.227853368294921976e-01,2.226199120864844061e-01,2.265538741835614878e-01,2.255072470308221444e-01
2.000000000000000111e-01,4.793348687778654083e-01,4.807831432753466583e-01,4.784651904494743868e-01,4.917549140221386117e-01,4.876477145463533058e-01
2.999999999999999889e-01,6.640918580560051243e-01,6.651868206474516043e-01,6.602536975648767292e-01,6.858693444943848583e-01,6.781370378389064424e-01
4.000000000000000222e-01,7.667414877680360785e-01,7.656771322474351660e-01,7.596739850026993368e-01,7.972824255947423833e-01,7.866614193927909948e-01
5.000000000000000000e-01,8.337435596429813023e-01,8.311173010430549235e-01,8.248596283246988348e-01,8.729318707875589611e-01,8.590482343400360765e-01
5.999999999999999778e-01,8.942687603324549483e-01,8.905441111740434179e-01,8.846365766209929316e-01,9.425613811346176263e-01,9.246190234417756004e-01
7.000000000000000666e-01,9.525295807294406059e-01,9.471540581599431352e-01,9.417780375557426309e-01,1.010903273631325483e+00,9.886473086927763942e-01
8.000000000000000444e-01,1.006584302534049291e+00,1.000751528274677282e+00,9.949196829688267130e-01,1.077273086776948219e+00,1.050253580182277657e+00
9.000000000000000222e-01,1.058354982439124958e+00,1.052984347460197867e+00,1.046665437657748221e+00,1.141260095503175975e+00,1.109786946235029825e+00
1.000000000000000000e+00,1.109747640694444426e+00,1.104066867417902387e+00,1.097021906951775927e+00,1.203912927781131570e+00,1.167975117604594271e+00
1.100000000000000089e+00,1.160330498175795366e+00,1.152637131564131723e+00,1.145470430841398324e+00,1.265032717095122106e+00,1.223896085331520167e+00
1.199999999999999956e+00,1.208988064072692437e+00,1.198175909960395691e+00,1.192319187014475146e+00,1.324523562518070241e+00,1.277670559124970628e+00
1.300000000000000044e+00,1.256232175712564514e+00,1.243791276151374747e+00,1.237458320999090589e+00,1.382642856962920552e+00,1.330019816061329463e+00
1.400000000000000133e+00,1.303671261759083544e+00,1.290049265866082928e+00,1.281922524012398146e+00,1.439345446624646918e+00,1.383073787277294464e+00
1.500000000000000000e+00,1.352739240756996475e+00,1.335473048488259540e+00,1.325636700159418035e+00,1.495259425702775369e+00,1.437309379778448637e+00
1.600000000000000089e+00,1.402696224982521445e+00,1.381540868254795829e+00,1.370671440974924105e+00,1.551419030142696442e+00,1.491973127268436228e+00
1.699999999999999956e+00,1.453207227072731422e+00,1.428888746287986899e+00,1.417073057630206634e+00,1.608023215022390096e+00,1.546754719840014003e+00
1.800000000000000044e+00,1.503877037768437397e+00,1.477391623073916582e+00,1.464193897310775538e+00,1.665658194935298209e+00,1.601090178103824924e+00
1.900000000000000133e+00,1.554874000472020956e+00,1.525466640907102489e+00,1.511547125555039450e+00,1.722774476273038147e+00,1.654758873267284436e+00
2.000000000000000000e+00,1.605304193651514222e+00,1.572973223493659312e+00,1.558601541149437830e+00,1.779838349969939504e+00,1.708822126065355551e+00
2.100000000000000089e+00,1.654998799605085003e+00,1.620858323927948597e+00,1.604202225394229631e+00,1.837973758501572963e+00,1.763963891899212655e+00
2.200000000000000178e+00,1.703966526790673175e+00,1.668905874790667321e+00,1.648178985843702371e+00,1.896737039834999416e+00,1.819003616841204929e+00
2.300000000000000266e+00,1.752415279145852489e+00,1.716660819115707559e+00,1.691593306241570005e+00,1.954983717362295925e+00,1.874281428896928503e+00
2.399999999999999911e+00,1.800750460751606941e+00,1.763299958503535381e+00,1.736073674560709268e+00,2.012299480621573711e+00,1.929557094315417665e+00
2.500000000000000000e+00,1.848800139853733482e+00,1.808768485058809938e+00,1.781411418594276874e+00,2.068605381339954086e+00,1.984007669293873732e+00
2.600000000000000089e+00,1.896502632614738504e+00,1.854258150909150915e+00,1.825740015823692053e+00,2.124386176793690684e+00,2.038141637088507263e+00
2.700000000000000178e+00,1.943811006273302278e+00,1.900155930788253178e+00,1.869471881206012709e+00,2.180106841672646123e+00,2.092133398239904629e+00
2.800000000000000266e+00,1.991245574701424381e+00,1.947227974081105373e+00,1.912915302035701703e+00,2.236546050034617483e+00,2.145611685695328674e+00
2.899999999999999911e+00,2.039617366701881984e+00,1.994896653136456255e+00,1.956124560268052592e+00,2.293145975774498524e+00,2.198789549504629903e+00
3.000000000000000000e+00,2.087712327230459852e+00,2.042929551930327214e+00,1.999847074686093684e+00,2.348548249952499667e+00,2.252301462745768923e+00
3.100000000000000089e+00,2.134350876043572320e+00,2.090203015065843051e+00,2.044510108038917640e+00,2.403722949292069533e+00,2.305192656785171046e+00
3.200000000000000178e+00,2.180258512503347124e+00,2.136329587566506483e+00,2.089941178505072994e+00,2.458564171004009591e+00,2.357453832085773193e+00
3.300000000000000266e+00,2.225721543456184559e+00,2.182018850443971036e+00,2.135176739710268112e+00,2.513572486418478746e+00,2.409544351885836377e+00
3.399999999999999911e+00,2.271139317132361057e+00,2.226883206409819849e+00,2.179365492396393211e+00,2.567865746490856971e+00,2.461977356667883310e+00
3.500000000000000000e+00,2.316477048811405037e+00,2.271815950515053473e+00,2.222932223975805144e+00,2.620998316597970668e+00,2.515040832345316613e+00
3.600000000000000089e+00,2.362303931204859708e+00,2.317099451579396341e+00,2.265877024885459612e+00,2.673793309822694919e+00,2.567779022240580744e+00
3.700000000000000178e+00,2.408978680751729495e+00,2.362127700988196022e+00,2.308242308154881961e+00,2.727246430557460410e+00,2.619716353109302176e+00
3.800000000000000266e+00,2.455591199683909487e+00,2.407741491551053770e+00,2.350281621738022686e+00,2.781592143216501167e+00,2.671478950697095289e+00
3.899999999999999911e+00,2.501611330251655829e+00,2.453271977072093435e+00,2.393071659899043357e+00,2.835980790084677849e+00,2.723385577773669741e+00
4.000000000000000000e+00,2.547364585783489677e+00,2.498318045399626985e+00,2.437313762748328561e+00,2.889402170946536508e+00,2.775187931848553724e+00
4.099999999999999645e+00,2.594317914142789228e+00,2.542930921440069270e+00,2.482224442893890881e+00,2.942224727600358580e+00,2.826942437700194599e+00
4.200000000000000178e+00,2.642116637554136283e+00,2.586795043017936724e+00,2.526736192482441634e+00,2.996382548122201506e+00,2.879356271996723393e+00
4.299999999999999822e+00,2.689594136259209289e+00,2.629713363929843339e+00,2.570433027839053697e+00,3.051692559440041919e+00,2.932177481450368273e+00
4.400000000000000355e+00,2.736023597175680333e+00,2.672313910482554622e+00,2.613327297578364128e+00,3.106409216609503421e+00,2.985209277642173475e+00
4.500000000000000000e+00,2.781830698841579963e+00,2.715976529396020300e+00,2.656350833769924424e+00,3.160437377580264773e+00,3.038381189082343337e+00
4.600000000000000533e+00,2.828193499892360130e+00,2.760745305264987071e+00,2.699554808450680188e+00,3.213935302624070900e+00,3.091433971500998634e+00
4.700000000000000178e+00,2.875156277743533106e+00,2.805119021963735193e+00,2.742848279810682577e+00,3.267317010862414772e+00,3.143798182123516582e+00
4.799999999999999822e+00,2.922260615844849863e+00,2.848665787112984571e+00,2.785577111626369895e+00,3.320713260752932605e+00,3.195559674006224871e+00
4.900000000000000355e+00,2.968300574687637639e+00,2.892128385851703509e+00,2.827482927709375815e+00,3.375031968070197674e+00,3.247403149434568093e+00
5.000000000000000000e+00,3.013739125378529060e+00,2.935711230472907829e+00,2.869453559800815068e+00,3.430437352923701777e+00,3.298763618670660147e+00
5.100000000000000533e+00,3.059589378296901252e+00,2.978865336156419463e+00,2.912093973092818366e+00,3.485717074995890563e+00,3.349056982115293124e+00
5.200000000000000178e+00,3.105922825434568768e+00,3.021670483126787765e+00,2.955431309154139985e+00,3.539983621215100573e+00,3.399065768822167488e+00
5.299999999999999822e+00,3.152409162830999367e+00,3.065631294684489472e+00,2.999284332413898468e+00,3.593036930323591616e+00,3.449369346796467450e+00
5.400000000000000355e+00,3.198323249789722045e+00,3.110938363964509623e+00,3.042107396221225279e+00,3.645858277245387136e+00,3.500151696653084787e+00
5.500000000000000000e+00,3.243464191735434543e+00,3.156087181101546069e+00,3.084759198071390873e+00,3.698947465892088449e+00,3.551966174530549303e+00
