lag_ps,msd_Na_seg1_A2,msd_Cl_seg1_A2,msd_Na_seg2_A2,msd_Cl_seg2_A2,msd_Na_seg3_A2,msd_Cl_seg3_A2,msd_Na_seg4_A2,msd_Cl_seg4_A2,msd_Na_seg5_A2,msd_Cl_seg5_A2
0.000000000000000000e+00,-5.621182531791015028e-13,-1.604247598960581708e-12,2.365317818152511465e-12,-2.134786174994789982e-12,-1.904254531837068498e-12,-1.402137665233264434e-12,1.427401406949179018e-12,-1.193711796076968312e-12,2.993753393335888649e-12,2.551637913307381821e-12
1.000000000000000021e-02,3.233847213967540931e-03,2.086404058496150668e-03,3.244177299743947977e-03,2.068770289295369068e-03,3.250792662419775894e-03,2.058506478868417020e-03,3.211317515785417839e-03,2.083347552090547040e-03,3.257607054194977536e-03,2.096450153765595445e-03
2.000000000000000042e-02,1.255647443664050476e-02,8.202871624146408636e-03,1.259788864898167896e-02,8.134034521434487658e-03,1.262132367848936218e-02,8.091879019281754751e-03,1.247661134098621005e-02,8.190301117799158107e-03,1.264995105559465691e-02,8.243779125696923046e-03
2.999999999999999889e-02,2.695735987425804461e-02,1.796646047332867840e-02,2.704953547666693464e-02,1.781691953354109376e-02,2.709265155030809308e-02,1.771916158914008457e-02,2.681286881172834785e-02,1.793625846625622466e-02,2.716083541344005425e-02,1.806057908893560909e-02
4.000000000000000083e-02,4.506842574833550691e-02,3.084472285987911039e-02,4.522713855170776287e-02,3.059030342364445210e-02,4.528289264782062173e-02,3.041179818527931997e-02,4.488934167762989591e-02,3.078564577345509201e-02,4.541067632008990995e-02,3.101584910904067391e-02
5.000000000000000278e-02,6.542958606348116268e-02,4.623888991290590889e-02,6.566248109671353472e-02,4.586131215273780981e-02,6.571325412140380240e-02,4.557685218724651099e-02,6.528445237511151800e-02,4.613607359795600382e-02,6.592185203653697090e-02,4.651187486429838452e-02
5.999999999999999778e-02,8.668960498044321616e-02,6.354142300421017353e-02,8.699179937546040742e-02,6.302852177991427607e-02,8.701111015998701237e-02,6.261408152294557772e-02,8.667929448159839012e-02,6.337736747329042464e-02,8.732197526152024603e-02,6.394189485848755794e-02
7.000000000000000666e-02,1.077541821924291460e-01,8.218455720922672458e-02,1.081056939735339645e-01,8.152993998359964190e-02,1.080621354395753381e-01,8.096350806468738392e-02,1.080012305436386932e-01,8.194051999931338537e-02,1.084965023100860626e-01,8.273856323668521418e-02
8.000000000000000167e-02,1.278733666819675818e-01,1.016805647212398328e-01,1.282392965874553092e-01,1.008826844342125828e-01,1.281015164471581425e-01,1.001450078343219113e-01,1.285093697454347816e-01,1.013377311216838023e-01,1.286798725961059708e-01,1.024139571568285778e-01
8.999999999999999667e-02,1.466548167022791727e-01,1.216492368610728458e-01,1.469885400575745016e-01,1.207101722408702310e-01,1.467288049125556881e-01,1.197854539584757988e-01,1.478084844125836239e-01,1.211896499636332530e-01,1.474705611426101182e-01,1.225868961599871909e-01
1.000000000000000056e-01,1.640147552452365098e-01,1.418242163447618887e-01,1.642632488576067640e-01,1.407488937466736256e-01,1.638578334974170048e-01,1.396247814940226040e-01,1.658019362587815904e-01,1.412316684757431440e-01,1.647820326460557872e-01,1.429894847868114216e-01
1.100000000000000006e-01,1.800961627332766379e-01,1.620434648476197781e-01,1.802057067387149991e-01,1.608392625669365639e-01,1.796321234173016423e-01,1.595059601092051194e-01,1.826126512047684114e-01,1.613045227160986028e-01,1.807595281796794684e-01,1.634582930683260715e-01
1.199999999999999956e-01,1.951736695798066135e-01,1.822275243065595018e-01,1.950949618390988294e-01,1.809036339449158204e-01,1.943275538326550700e-01,1.793527888319898789e-01,1.984910157901443595e-01,1.813326042052696985e-01,1.956830191153042242e-01,1.839132788710963196e-01
1.300000000000000044e-01,2.095608231766227236e-01,2.023545779012339285e-01,2.092534520634848905e-01,2.009210197428564770e-01,2.082587875451527848e-01,1.991445584546151226e-01,2.137256627102127882e-01,2.012987926450351683e-01,2.098732329882295744e-01,2.043330939941559732e-01
1.400000000000000133e-01,2.235337292483260685e-01,2.224351546160758253e-01,2.229695612362421475e-01,2.209018124989307053e-01,2.217035077265418486e-01,2.188908598439525122e-01,2.285701793336822052e-01,2.212186939080046100e-01,2.236152711248564628e-01,2.247299512436787550e-01
1.499999999999999944e-01,2.372819047161682515e-01,2.424907116766424620e-01,2.364469734406561274e-01,2.408668855694600097e-01,2.348549418727385596e-01,2.386108216814098737e-01,2.431959501221159503e-01,2.411186875655491613e-01,2.371096660779383192e-01,2.451290187045490065e-01
1.600000000000000033e-01,2.508876762565945828e-01,2.625355661957023967e-01,2.497822213668775548e-01,2.608299420492699028e-01,2.478038304754066889e-01,2.583160294440429161e-01,2.576722703812461268e-01,2.610174663565645314e-01,2.504515920184012812e-01,2.655507266445498171e-01
1.700000000000000122e-01,2.643315017446702386e-01,2.825651021187430278e-01,2.629681680069811400e-01,2.807860737556022168e-01,2.605459746932076159e-01,2.779993696657546143e-01,2.719724086880117020e-01,2.809143818765783562e-01,2.636356738087468066e-01,2.859988895310784374e-01
1.799999999999999933e-01,2.775170347508277846e-01,3.025492753244457544e-01,2.759172493911105639e-01,3.007052192818567282e-01,2.730075260343798882e-01,2.976292186934301753e-01,2.859982816897665425e-01,3.007830582359171667e-01,2.765795896842430657e-01,3.064532112616878412e-01
1.900000000000000022e-01,2.903071234703449854e-01,3.224326023161868116e-01,2.884967599920508219e-01,3.205317675522489362e-01,2.850785481500616170e-01,3.171495954199675116e-01,2.996149589934115620e-01,3.205708501335240990e-01,2.891583862761863966e-01,3.268674480946237582e-01
2.000000000000000111e-01,3.025601121362089807e-01,3.421379746585368475e-01,3.005662027976825357e-01,3.401880622845649405e-01,2.966467504026834567e-01,3.364837518877455413e-01,3.126855576658537639e-01,3.402021932418569650e-01,3.012400904586279848e-01,3.471711783576488797e-01
2.099999999999999922e-01,3.141598238356537731e-01,3.615739752992037093e-01,3.120092055661763952e-01,3.595818544595835720e-01,3.076235042638333916e-01,3.555409766645804548e-01,3.251013753447991039e-01,3.595858606320423978e-01,3.127159445089091605e-01,3.672760984726690103e-01
2.200000000000000011e-01,3.250361058616893506e-01,3.806433480362569899e-01,3.227550617716398729e-01,3.786146551652728176e-01,3.179587890556818675e-01,3.742243973038941740e-01,3.368010190720617247e-01,3.786235203986115794e-01,3.235196830521481770e-01,3.870836219452308269e-01
2.300000000000000100e-01,3.351733379609590502e-01,3.992512425076470972e-01,3.327879350564476035e-01,3.971905742147264773e-01,3.276455528874337997e-01,3.924393090203087131e-01,3.477761631357780825e-01,3.972185138428143691e-01,3.336350004970477512e-01,4.064932716878628671e-01
2.399999999999999911e-01,3.446069035944863690e-01,4.173116448410559842e-01,3.421443915250582113e-01,4.152235504754647200e-01,3.367162140122622604e-01,4.101001710588434435e-01,3.580653621407950404e-01,4.152828809036464008e-01,3.430914870082106827e-01,4.254096814064685650e-01
2.500000000000000000e-01,3.534114355216691483e-01,4.347526602812574192e-01,3.509023946737923061e-01,4.326433005751053051e-01,3.452330030144865614e-01,4.271359419702902560e-01,3.677402757422688073e-01,4.327425569209519263e-01,3.519530576954442158e-01,4.437489998442047945e-01
