r_A,g_NaCl,w_kcalmol
2.500000000000000139e-02,0.000000000000000000e+00,nan
7.500000000000001110e-02,0.000000000000000000e+00,nan
1.250000000000000000e-01,0.000000000000000000e+00,nan
1.750000000000000167e-01,0.000000000000000000e+00,nan
2.250000000000000056e-01,0.000000000000000000e+00,nan
2.750000000000000222e-01,0.000000000000000000e+00,nan
3.250000000000000666e-01,0.000000000000000000e+00,nan
3.750000000000000000e-01,0.000000000000000000e+00,nan
4.250000000000000444e-01,0.000000000000000000e+00,nan
4.749999999999999778e-01,0.000000000000000000e+00,nan
5.250000000000000222e-01,0.000000000000000000e+00,nan
5.750000000000000666e-01,0.000000000000000000e+00,nan
6.250000000000000000e-01,0.000000000000000000e+00,nan
6.750000000000000444e-01,0.000000000000000000e+00,nan
7.250000000000000888e-01,0.000000000000000000e+00,nan
7.750000000000000222e-01,0.000000000000000000e+00,nan
8.250000000000000666e-01,0.000000000000000000e+00,nan
8.750000000000000000e-01,0.000000000000000000e+00,nan
9.250000000000000444e-01,0.000000000000000000e+00,nan
9.750000000000000888e-01,0.000000000000000000e+00,nan
1.024999999999999911e+00,0.000000000000000000e+00,nan
1.075000000000000178e+00,0.000000000000000000e+00,nan
1.125000000000000000e+00,0.000000000000000000e+00,nan
1.175000000000000266e+00,0.000000000000000000e+00,nan
1.225000000000000089e+00,0.000000000000000000e+00,nan
1.274999999999999911e+00,0.000000000000000000e+00,nan
1.325000000000000178e+00,0.000000000000000000e+00,nan
1.375000000000000000e+00,0.000000000000000000e+00,nan
1.425000000000000266e+00,0.000000000000000000e+00,nan
1.475000000000000089e+00,0.000000000000000000e+00,nan
1.524999999999999911e+00,0.000000000000000000e+00,nan
1.575000000000000178e+00,0.000000000000000000e+00,nan
1.625000000000000000e+00,0.000000000000000000e+00,nan
1.675000000000000266e+00,0.000000000000000000e+00,nan
1.725000000000000089e+00,0.000000000000000000e+00,nan
1.774999999999999911e+00,0.000000000000000000e+00,nan
1.825000000000000178e+00,0.000000000000000000e+00,nan
1.875000000000000000e+00,0.000000000000000000e+00,nan
1.925000000000000266e+00,0.000000000000000000e+00,nan
1.975000000000000089e+00,0.000000000000000000e+00,nan
2.025000000000000355e+00,0.000000000000000000e+00,nan
2.075000000000000178e+00,0.000000000000000000e+00,nan
2.125000000000000000e+00,0.000000000000000000e+00,nan
