# Figure 2a — wall-time per MD step
# branch: feature-nnp-native-spline
# exe:    /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline/cp2k.psmp
# steps:  200
# omp:    1
n_molecules,mpi_ranks,omp_threads,total_cores,time_per_step_s,total_walltime_s
64,1,1,1,FAILED,FAILED
64,2,1,2,FAILED,FAILED
64,4,1,4,FAILED,FAILED
64,8,1,8,FAILED,FAILED
64,16,1,16,FAILED,FAILED
64,32,1,32,FAILED,FAILED
64,64,1,64,FAILED,FAILED
64,72,1,72,FAILED,FAILED
64,144,1,144,FAILED,FAILED
64,288,1,288,FAILED,FAILED
512,1,1,1,FAILED,FAILED
512,2,1,2,FAILED,FAILED
512,4,1,4,FAILED,FAILED
512,8,1,8,FAILED,FAILED
512,16,1,16,FAILED,FAILED
512,32,1,32,FAILED,FAILED
512,64,1,64,FAILED,FAILED
512,72,1,72,FAILED,FAILED
512,144,1,144,FAILED,FAILED
512,288,1,288,FAILED,FAILED
4096,1,1,1,FAILED,FAILED
4096,2,1,2,FAILED,FAILED
4096,4,1,4,FAILED,FAILED
4096,8,1,8,FAILED,FAILED
4096,16,1,16,FAILED,FAILED
4096,32,1,32,FAILED,FAILED
4096,64,1,64,FAILED,FAILED
4096,72,1,72,FAILED,FAILED
4096,144,1,144,FAILED,FAILED
4096,288,1,288,FAILED,FAILED
