# Figure 2a — wall-time per MD step
# branch: feature-nnp-native-spline-omp
# exe:    /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# steps:  200
# omp:    2
n_molecules,mpi_ranks,omp_threads,total_cores,time_per_step_s,total_walltime_s
64,1,2,2,FAILED,FAILED
64,2,2,4,FAILED,FAILED
64,4,2,8,FAILED,FAILED
64,8,2,16,FAILED,FAILED
64,16,2,32,FAILED,FAILED
64,32,2,64,FAILED,FAILED
64,36,2,72,FAILED,FAILED
64,72,2,144,FAILED,FAILED
64,144,2,288,FAILED,FAILED
512,1,2,2,FAILED,FAILED
512,2,2,4,FAILED,FAILED
512,4,2,8,FAILED,FAILED
512,8,2,16,FAILED,FAILED
512,16,2,32,FAILED,FAILED
512,32,2,64,FAILED,FAILED
512,36,2,72,FAILED,FAILED
512,72,2,144,FAILED,FAILED
512,144,2,288,FAILED,FAILED
4096,1,2,2,FAILED,FAILED
4096,2,2,4,FAILED,FAILED
4096,4,2,8,FAILED,FAILED
4096,8,2,16,FAILED,FAILED
4096,16,2,32,FAILED,FAILED
4096,32,2,64,FAILED,FAILED
4096,36,2,72,FAILED,FAILED
4096,72,2,144,FAILED,FAILED
4096,144,2,288,FAILED,FAILED
